"","V1"
"_GeorgeWashington_1_2",5
"_GeorgeWashington_1_3",5
"_GeorgeWashington_1_4",5
"_GeorgeWashington_1_5",5
"_GeorgeWashington_1_6",5
"_GeorgeWashington_1_7",5
"_GeorgeWashington_1_8",13
"_GeorgeWashington_1_9",7
"_GeorgeWashington_1_10",2
"_GeorgeWashington_1_11",2
"_GeorgeWashington_1_12",5
"_GeorgeWashington_1_13",10
"_GeorgeWashington_1_14",10
"_GeorgeWashington_1_15",2
"_GeorgeWashington_1_16",13
"_GeorgeWashington_1_17",13
"_GeorgeWashington_1_18",13
"_GeorgeWashington_1_19",13
"_GeorgeWashington_1_20",6
"_GeorgeWashington_1_21",7
"_GeorgeWashington_1_22",2
"_GeorgeWashington_1_23",7
"_GeorgeWashington_1_24",15
"_GeorgeWashington_1_25",2
"_GeorgeWashington_1_26",5
"_GeorgeWashington_1_27",3
"_GeorgeWashington_1_28",5
"_GeorgeWashington_1_29",5
"_GeorgeWashington_1_30",5
"_GeorgeWashington_2_2",5
"_GeorgeWashington_2_3",5
"_JohnAdams_1_2",2
"_JohnAdams_1_3",2
"_JohnAdams_1_4",2
"_JohnAdams_1_5",2
"_JohnAdams_1_6",12
"_JohnAdams_1_7",11
"_JohnAdams_1_8",7
"_JohnAdams_1_9",14
"_JohnAdams_1_10",10
"_JohnAdams_1_11",10
"_JohnAdams_1_12",10
"_JohnAdams_1_13",10
"_JohnAdams_1_14",5
"_JohnAdams_1_15",10
"_JohnAdams_1_16",6
"_JohnAdams_1_17",2
"_JohnAdams_1_18",10
"_JohnAdams_1_19",15
"_JohnAdams_1_20",15
"_JohnAdams_1_21",15
"_JohnAdams_1_22",2
"_JohnAdams_1_23",6
"_JohnAdams_1_24",7
"_JohnAdams_1_25",1
"_JohnAdams_1_26",1
"_JohnAdams_1_27",14
"_JohnAdams_1_28",14
"_JohnAdams_1_29",14
"_JohnAdams_1_30",15
"_JohnAdams_1_31",13
"_JohnAdams_1_32",13
"_JohnAdams_1_33",13
"_JohnAdams_1_34",13
"_JohnAdams_1_35",4
"_JohnAdams_1_36",5
"_JohnAdams_1_37",7
"_JohnAdams_1_38",7
"_JohnAdams_1_39",7
"_JohnAdams_1_40",7
"_JohnAdams_1_41",13
"_JohnAdams_1_42",6
"_JohnAdams_1_43",6
"_JohnAdams_1_44",12
"_JohnAdams_1_45",14
"_JohnAdams_1_46",14
"_JohnAdams_1_47",14
"_JohnAdams_1_48",14
"_JohnAdams_1_49",14
"_JohnAdams_1_50",14
"_JohnAdams_1_51",5
"_JohnAdams_1_52",5
"_JohnAdams_1_53",5
"_JohnAdams_1_54",5
"_ThomasJefferson_1_2",5
"_ThomasJefferson_1_3",5
"_ThomasJefferson_1_4",5
"_ThomasJefferson_1_5",5
"_ThomasJefferson_1_6",3
"_ThomasJefferson_1_7",3
"_ThomasJefferson_1_8",3
"_ThomasJefferson_1_9",7
"_ThomasJefferson_1_10",1
"_ThomasJefferson_1_11",1
"_ThomasJefferson_1_12",1
"_ThomasJefferson_1_13",1
"_ThomasJefferson_1_14",10
"_ThomasJefferson_1_15",2
"_ThomasJefferson_1_16",2
"_ThomasJefferson_1_17",2
"_ThomasJefferson_1_18",1
"_ThomasJefferson_1_19",1
"_ThomasJefferson_1_20",1
"_ThomasJefferson_1_21",3
"_ThomasJefferson_1_22",3
"_ThomasJefferson_1_23",3
"_ThomasJefferson_1_24",15
"_ThomasJefferson_1_25",4
"_ThomasJefferson_1_26",7
"_ThomasJefferson_1_27",9
"_ThomasJefferson_1_28",2
"_ThomasJefferson_1_29",8
"_ThomasJefferson_1_30",6
"_ThomasJefferson_1_31",13
"_ThomasJefferson_1_32",13
"_ThomasJefferson_1_33",13
"_ThomasJefferson_1_34",13
"_ThomasJefferson_1_35",12
"_ThomasJefferson_1_36",13
"_ThomasJefferson_1_37",13
"_ThomasJefferson_1_38",13
"_ThomasJefferson_1_39",7
"_ThomasJefferson_1_40",7
"_ThomasJefferson_1_41",7
"_ThomasJefferson_1_42",7
"_ThomasJefferson_1_43",11
"_ThomasJefferson_1_44",11
"_ThomasJefferson_1_45",11
"_ThomasJefferson_1_46",12
"_ThomasJefferson_1_47",12
"_ThomasJefferson_1_48",12
"_ThomasJefferson_1_49",12
"_ThomasJefferson_1_50",1
"_ThomasJefferson_1_51",1
"_ThomasJefferson_1_52",1
"_ThomasJefferson_1_53",5
"_ThomasJefferson_1_54",1
"_ThomasJefferson_1_55",5
"_ThomasJefferson_1_56",5
"_ThomasJefferson_1_57",5
"_ThomasJefferson_1_58",5
"_ThomasJefferson_1_59",5
"_ThomasJefferson_1_60",5
"_ThomasJefferson_1_61",5
"_ThomasJefferson_1_62",5
"_ThomasJefferson_1_63",5
"_ThomasJefferson_2_2",5
"_ThomasJefferson_2_3",5
"_ThomasJefferson_2_4",13
"_ThomasJefferson_2_5",14
"_ThomasJefferson_2_6",13
"_ThomasJefferson_2_7",13
"_ThomasJefferson_2_8",11
"_ThomasJefferson_2_9",5
"_ThomasJefferson_2_10",12
"_ThomasJefferson_2_11",12
"_ThomasJefferson_2_12",12
"_ThomasJefferson_2_13",11
"_ThomasJefferson_2_14",11
"_ThomasJefferson_2_15",11
"_ThomasJefferson_2_16",11
"_ThomasJefferson_2_17",2
"_ThomasJefferson_2_18",7
"_ThomasJefferson_2_19",6
"_ThomasJefferson_2_20",4
"_ThomasJefferson_2_21",7
"_ThomasJefferson_2_22",7
"_ThomasJefferson_2_23",7
"_ThomasJefferson_2_24",7
"_ThomasJefferson_2_25",13
"_ThomasJefferson_2_26",7
"_ThomasJefferson_2_27",11
"_ThomasJefferson_2_28",4
"_ThomasJefferson_2_29",11
"_ThomasJefferson_2_30",11
"_ThomasJefferson_2_31",6
"_ThomasJefferson_2_32",6
"_ThomasJefferson_2_33",3
"_ThomasJefferson_2_34",13
"_ThomasJefferson_2_35",6
"_ThomasJefferson_2_36",1
"_ThomasJefferson_2_37",2
"_ThomasJefferson_2_38",5
"_ThomasJefferson_2_39",2
"_ThomasJefferson_2_40",5
"_ThomasJefferson_2_41",5
"_ThomasJefferson_2_42",5
"_ThomasJefferson_2_43",5
"_ThomasJefferson_2_44",2
"_ThomasJefferson_2_45",10
"_ThomasJefferson_2_46",5
"_ThomasJefferson_2_47",10
"_ThomasJefferson_2_48",4
"_ThomasJefferson_2_49",2
"_ThomasJefferson_2_50",5
"_ThomasJefferson_2_51",10
"_ThomasJefferson_2_52",10
"_ThomasJefferson_2_53",10
"_ThomasJefferson_2_54",10
"_ThomasJefferson_2_55",10
"_ThomasJefferson_2_56",10
"_ThomasJefferson_2_57",10
"_ThomasJefferson_2_58",10
"_ThomasJefferson_2_59",13
"_ThomasJefferson_2_60",13
"_ThomasJefferson_2_61",13
"_ThomasJefferson_2_62",13
"_ThomasJefferson_2_63",3
"_ThomasJefferson_2_64",5
"_ThomasJefferson_2_65",3
"_ThomasJefferson_2_66",5
"_ThomasJefferson_2_67",2
"_ThomasJefferson_2_68",2
"_ThomasJefferson_2_69",5
"_ThomasJefferson_2_70",5
"_JamesMadison_1_2",5
"_JamesMadison_1_3",5
"_JamesMadison_1_4",2
"_JamesMadison_1_5",2
"_JamesMadison_1_6",11
"_JamesMadison_1_7",11
"_JamesMadison_1_8",1
"_JamesMadison_1_9",14
"_JamesMadison_1_10",14
"_JamesMadison_1_11",2
"_JamesMadison_1_12",13
"_JamesMadison_1_13",7
"_JamesMadison_1_14",13
"_JamesMadison_1_15",5
"_JamesMadison_1_16",5
"_JamesMadison_1_17",14
"_JamesMadison_1_18",14
"_JamesMadison_1_19",14
"_JamesMadison_1_20",14
"_JamesMadison_1_21",6
"_JamesMadison_1_22",7
"_JamesMadison_1_23",7
"_JamesMadison_1_24",7
"_JamesMadison_1_25",7
"_JamesMadison_1_26",13
"_JamesMadison_1_27",12
"_JamesMadison_1_28",11
"_JamesMadison_1_29",11
"_JamesMadison_1_30",11
"_JamesMadison_1_31",1
"_JamesMadison_1_32",1
"_JamesMadison_1_33",1
"_JamesMadison_1_34",5
"_JamesMadison_1_35",5
"_JamesMadison_1_36",5
"_JamesMadison_2_2",5
"_JamesMadison_2_3",5
"_JamesMadison_2_4",6
"_JamesMadison_2_5",13
"_JamesMadison_2_6",8
"_JamesMadison_2_7",14
"_JamesMadison_2_8",14
"_JamesMadison_2_9",13
"_JamesMadison_2_10",13
"_JamesMadison_2_11",13
"_JamesMadison_2_12",13
"_JamesMadison_2_13",1
"_JamesMadison_2_14",13
"_JamesMadison_2_15",11
"_JamesMadison_2_16",7
"_JamesMadison_2_17",7
"_JamesMadison_2_18",13
"_JamesMadison_2_19",1
"_JamesMadison_2_20",1
"_JamesMadison_2_21",1
"_JamesMadison_2_22",1
"_JamesMadison_2_23",3
"_JamesMadison_2_24",11
"_JamesMadison_2_25",11
"_JamesMadison_2_26",11
"_JamesMadison_2_27",11
"_JamesMadison_2_28",11
"_JamesMadison_2_29",11
"_JamesMadison_2_30",6
"_JamesMadison_2_31",1
"_JamesMadison_2_32",1
"_JamesMadison_2_33",11
"_JamesMadison_2_34",11
"_JamesMadison_2_35",11
"_JamesMadison_2_36",11
"_JamesMadison_2_37",11
"_JamesMadison_2_38",11
"_JamesMonroe_1_2",5
"_JamesMonroe_1_3",5
"_JamesMonroe_1_4",5
"_JamesMonroe_1_5",5
"_JamesMonroe_1_6",5
"_JamesMonroe_1_7",2
"_JamesMonroe_1_8",2
"_JamesMonroe_1_9",2
"_JamesMonroe_1_10",11
"_JamesMonroe_1_11",7
"_JamesMonroe_1_12",2
"_JamesMonroe_1_13",13
