"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","freedom","great","will","work","shall","peopl","state","time","world","law","war","public","everi","nation","can"
"2","men","exist","must","home","duti","upon","govern","now","new","constitut","forc","govern","countri","peac","one"
"3","hope","much","make","live","may","spirit","power","year","america","execut","great","revenu","citizen","polici","govern"
"4","human","institut","good","product","offic","civil","unit","first","let","congress","made","busi","right","among","may"
"5","know","mani","believ","better","servic","faith","union","day","american","parti","progress","demand","interest","foreign","peopl"
"6","free","present","never","great","support","liberti","constitut","presid","togeth","upon","increas","industri","equal","relat","without"
"7","man","caus","like","find","trust","free","right","god","old","question","defens","necessari","just","justic","individu"
"8","long","experi","need","american","confid","republ","general","futur","chang","legisl","trade","condit","prosper","friend","far"
"9","life","danger","thing","way","high","hand","feder","stand","nation","control","commerc","interest","found","honor","other"
"10","earth","result","done","see","best","order","within","histori","generat","elect","arm","economi","happi","promot","practic"
"11","seek","patriot","lead","opportun","countri","yet","author","past","respons","subject","countri","labor","preserv","intern","anoth"
"12","fear","import","continu","must","administr","govern","limit","today","promis","act","use","protect","bless","secur","becom"
"13","moral","section","take","need","call","less","territori","say","today","made","improv","secur","success","maintain","well"
"14","liberti","form","understand","help","respons","principl","exercis","moment","democraci","depart","place","tax","secur","ever","mere"
"15","heart","reason","realiz","life","public","place","whole","fellow","come","given","greater","restor","part","independ","now"
"16","mankind","howev","alway","look","oblig","noth","protect","oath","strength","power","bear","import","polit","respect","use"
"17","rememb","polit","give","children","faith","hold","observ","word","ideal","enforc","maintain","burden","common","war","communiti"
"18","want","influenc","race","even","expect","rest","grant","come","strong","effect","extend","larg","principl","advanc","sure"
"19","light","period","greatest","land","countrymen","love","local","ask","turn","opinion","militari","expenditur","essenti","effort","safe"
"20","carri","action","requir","achiev","purpos","purpos","system","problem","end","instrument","number","money","well","great","either"
