S         M      Resp
1                      1         709  
  1                      1         659  
  1                      2         668  
  1                      2         685    
  1                      3         659  
  1                       3         685  
    1                     4         698  
  1                       4         650  
   2                       1         713  
  2                      1         726  
   2                      2         722  
  2                     2        740  
  2                       3         666  
  2                       3         684  
  2                       4         704  
  2                       4         666  
3                      1         660  
  3                       1         645  
  3                       2         692  
  3                       2         720  
  3                       3         678  
  3                       3         750  
   3                       4         686  
  3                      4         733  

