"","ALXN","AMGN","ANIK","ARWR","BIIB","CASC","CBM","CELG","GILD","IMGN","INCY","NKTR","PGNX","REGN","RGEN","SPPI","SRPT","TECH","VRTX"
"1998-01-02",2.96875,11.629442,8.625,32.5,5.645833,81,10.499326,0.359375,1.110293,0.9375,21.375,12.84375,13.6875,8.875,1.0312,252.830292,40.875,8.041175,16.6875
"1998-01-05",2.96875,11.589016,8.4375,32.5,5.666667,77.623199,10.608409,0.375,1.135775,1.0937,21.125,13.9375,13.25,9,1.0937,246.663712,42.75,7.823849,16.5625
"1998-01-06",3,11.45426,8,32.5,5.833333,79.873199,10.472054,0.377604,1.139416,1.375,20.5,15.6875,13.25,8.5,1.0312,234.330521,42.75,7.769514,16.4375
"1998-01-07",3,11.467735,8.1875,32.5,5.708333,75.373199,10.3357,0.401042,1.132135,1.875,20.4375,15.5,13.75,8.25,1.0625,234.330521,42.75,7.769514,16.3125
"1998-01-08",2.9375,11.508163,7.9375,32.5,5.875,75.373199,10.199341,0.380208,1.150337,1.625,20.125,16,13.6875,8.25,1.0312,234.330521,39.375,8.244902,16.5625
"1998-01-09",3.03125,11.346457,7.9687,32.5,5.989583,75.373199,9.84482,0.364583,1.117574,1.625,19.6875,15.40625,13.875,8.6875,1.0312,231.247223,41.625,8.204173,16.40625
"1998-01-12",3,11.413832,8.0625,32.5,5.833333,72,9.640291,0.369792,1.077531,1.6562,18,14.625,14.125,8.375,1.0312,228.163925,41.25,7.606517,15.9375
"1998-01-13",3.25,11.198222,7.75,32.5,6.229167,74.25,9.531203,0.359375,1.121214,1.8125,19,15.34375,14,8.375,1.0312,228.163925,39.375,7.823849,16.5
"1998-01-14",3.25,10.780478,7.9375,32.5,6.5,74.25,9.599381,0.367188,1.099372,1.8437,20.0625,14.875,13.5625,8.5625,1,220.455688,40.125,7.715179,17.25
"1998-01-15",3.375,10.564869,7.8125,32.5,6.541667,74.25,9.790277,0.351563,1.117574,1.9062,20.5,14.96875,13.625,8.375,1.0625,218.914032,39.75,7.715179,17.8125
"1998-01-16",3.375,10.564869,8.625,32.5,6.458333,74.25,9.749372,0.359375,1.139416,1.8437,21.625,15.4375,13.5,8.125,1.0312,212.747452,40.125,7.715179,18.25
"1998-01-20",3.3125,10.767006,8.5625,32.5,7.208333,75.373199,9.722102,0.375,1.163078,1.9375,22.5156,15.375,13.875,8.5,1.125,225.080627,40.5,7.497851,18.25
"1998-01-21",3.59375,10.686152,7.875,32.5,7.0625,73.123199,9.626654,0.364583,1.106653,2.0312,22.125,14.625,13.875,7.875,1.0937,234.330521,41.25,7.769514,17.875
"1998-01-22",3.25,10.160604,7.9375,32.5,7,73.123199,9.626654,0.361979,1.113934,2.1875,21.75,14.65625,14,7.9375,1.0625,221.99733,43.5,7.715179,17.875
"1998-01-23",3.25,10.457066,7.8125,32.5,7,73.123199,9.626654,0.351563,1.119394,2.4062,21.75,14.90625,13.875,7.9375,1.0937,218.914032,42.75,7.497851,18.375
"1998-01-26",3.140625,10.49749,7.875,39,6.833333,81,9.422124,0.333333,1.115754,2.4687,21.375,14.84375,13.25,7.5,1.0625,220.455688,41.25,7.362022,18.25
"1998-01-27",3.28125,10.591824,7.9375,45.5,6.927083,76.5,9.51757,0.333333,1.141236,2.125,21.4375,15.375,13.75,7.4375,1.0312,221.99733,42.75,7.497851,18.625
"1998-01-28",3.09375,10.847857,7.625,45.5,7.125,76.5,9.326674,0.348958,1.219503,1.875,21.875,16.375,13.875,7.125,1.0312,220.455688,41.625,7.932509,19.125
"1998-01-29",3.28125,10.659199,7.75,45.5,7.145833,74.25,9.217587,0.369792,1.223143,1.8125,22,16.875,14.125,7,1.0312,222.766922,39.843601,7.87818,19.5
"1998-01-30",3.3125,10.780478,7.25,45.5,6.958333,79.873199,9.176683,0.356771,1.179459,2,21.6875,16.1875,16.375,7,1,231.247223,39.75,7.823849,19.625
"1998-02-02",3.15625,11.64292,7.5,45.5,7.1875,84.373199,9.57211,0.348958,1.128495,2.0625,23.5,16.4375,17,7.375,0.9687,232.788864,40.5,7.87818,19.0625
"1998-02-03",3.0625,11.548589,7.5,45.5,7.083333,87.75,9.81755,0.348958,1.150337,2.1875,24.5,16.125,16,7.5,1,229.705582,39.75,8.258506,18.75
"1998-02-04",3.09375,11.413832,7.5,45.5,7.083333,83.25,9.607096,0.341146,1.150337,2.0312,25.1875,16,17,7.5,1.0625,228.163925,39.75,8.041175,18.15625
"1998-02-05",3.15625,11.049994,7.75,45.5,6.916667,87.75,9.648095,0.34375,1.07389,2,24.375,16,16.75,7.125,1.0625,218.914032,39,7.932509,17.03125
"1998-02-06",3.25,11.629442,8,45.5,6.958333,85.5,9.648095,0.333333,1.153977,2,25,16.9375,16.125,7.125,1.0937,225.080627,39,8.041175,18.10935
"1998-02-09",3.0625,11.413832,8,45.5,7.229167,81,9.566099,0.333333,1.106653,2.0937,25.0625,17.125,16.9375,7.375,1.1875,221.99733,39.375,8.122673,17.8125
"1998-02-10",3.09375,11.872005,8,45.5,7.3125,79.873199,9.607096,0.341146,1.081171,2.0312,24.15625,16.96875,17.0625,7.5,1.0937,208.122498,37.875,8.312835,18
"1998-02-11",3.15625,11.8181,8.25,45.5,7.083333,81,9.620765,0.325521,1.084811,2.0312,23.6875,16.3125,16.75,9.5,1.0625,206.580856,36,7.986842,18.0625
"1998-02-12",3.1875,11.858527,8.125,45.5,7.083333,82.123199,9.484103,0.328125,1.088452,1.9687,23.5625,16.8125,16.25,8.9375,1.0625,212.747452,39.375,8.06834,18.125
"1998-02-13",3.25,11.575541,8.125,45.5,7.291667,76.5,9.470438,0.320313,1.077531,2,23.75,17.0625,17,8.5625,1.0625,212.747452,39.375,7.932509,19
"1998-02-17",3.0625,11.602489,8.3125,45.5,7.25,78.75,9.333779,0.317708,1.052957,1.9375,23.5,17.125,16.5,8.8125,1,211.205795,40.5,8.122673,19
"1998-02-18",3.375,11.858527,8.375,45.5,7.479167,83.25,9.648095,0.294271,1.046588,1.9687,23.5,16.9375,18.375,8.6875,1.125,215.830734,43.5,7.87818,18.75
"1998-02-19",3.296875,11.858527,8.75,45.5,7.479167,76.5,9.82575,0.317708,1.037487,1.875,23.125,16.96875,20.25,8.875,1.1562,211.205795,43.5,7.552182,18.8125
"1998-02-20",3.3125,11.696822,8.4375,45.5,7.416667,76.5,9.935076,0.359375,1.075711,1.875,23.375,17.03125,19.875,8.625,1.0937,218.914032,45.937199,7.389189,18.75
"1998-02-23",3.171875,11.737248,8.9375,45.5,7.25,83.25,10.140066,0.382813,1.086632,1.7812,23.4375,17.0625,20.5,8.4375,1.1875,215.830734,44.625,7.525017,18.625
"1998-02-24",3.234375,11.42731,9.0625,45.5,6.96875,76.5,10.304055,0.359375,1.050228,1.625,23.1875,16,19.375,8.375,1.1562,209.664154,44.625,7.606517,18.28125
"1998-02-25",3.3125,11.494689,8.875,45.5,7.25,82.123199,10.577373,0.367188,1.077531,1.5937,23.5,15.125,19.4375,8.5,1.2187,211.205795,43.5,7.932509,18.0625
"1998-02-26",3.25,11.548589,8.875,45.5,7.333333,81,10.850688,0.375,1.052048,1.75,23.625,15.0625,19.75,8.25,1.1562,243.580414,42.75,8.14984,18.25
"1998-02-27",3.34375,11.45426,8.5625,45.5,7.5625,83.25,10.823358,0.369792,1.042948,1.75,22.75,14.9375,19.375,8.125,1.1562,234.330521,43.875,8.177005,18.6875
"1998-03-02",3.3125,11.299279,8.8125,45.5,7.166667,83.25,10.864353,0.348958,1.048408,1.7812,22.625,14.125,19.625,7.75,1.1562,228.163925,42.375,7.986842,18.3125
"1998-03-03",3.5,11.521638,7.9375,45.5,6.854167,92.25,10.714029,0.375,1.052048,1.9687,22.875,15.4375,22,7.625,1.125,225.080627,42,8.041175,18.375
"1998-03-04",3.46875,11.373405,8.0625,45.5,6.541667,96.75,10.604707,0.385417,1.048408,1.8125,22.8125,15.25,21.1875,7.5,1.0937,231.247223,42.75,8.041175,18.0625
"1998-03-05",3.53125,11.306028,8.25,45.5,6.875,95.623199,10.440711,0.380208,1.052048,1.875,22.5156,14.875,21.125,7.5156,1.125,228.163925,42.75,7.918906,17.5
"1998-03-06",3.75,11.400357,8.875,45.5,7.208333,101.25,10.413381,0.380208,1.095732,2,23.78125,15.0625,21.5,7.625,1.0625,228.163925,44.625,8.258506,17.4375
"1998-03-09",3.5625,11.72377,8.6875,45.5,7,112.5,10.413381,0.375,1.101192,1.9375,23,15,20.125,7.5625,1.125,225.080627,43.687199,8.204173,17.375
"1998-03-10",3.515625,11.72377,8.875,45.5,7.333333,129.373199,10.495378,0.369792,1.103013,1.9062,22.46875,14.75,18.125,7.5625,1.0937,228.163925,42.187199,8.122673,17.5
"1998-03-11",3.65625,11.858527,9,45.5,7.479167,105.75,10.249388,0.369792,1.117574,1.75,21.5,14.25,18.25,7.8125,1.0625,240.497116,42,8.122673,16.96875
"1998-03-12",3.5625,12.586208,10.125,45.5,7.572917,117,10.399715,0.380208,1.144876,1.7187,21.625,14.3125,18.875,8.5,1.0937,232.788864,41.625,8.258506,17.25
"1998-03-13",3.53125,12.599689,9.625,45.5,7.541667,112.5,10.509042,0.359375,1.126675,1.6875,22.3125,14.28125,20.375,8.875,1.0937,215.830734,42.75,8.204173,17.5
"1998-03-16",3.515625,12.855724,10,45.5,7.416667,112.5,10.495378,0.375,1.117574,1.6562,22.5,14,20,8.625,1.1875,206.580856,42.375,8.204173,17.53125
"1998-03-17",3.4375,12.98373,9.9375,45.5,7.53125,112.5,10.741362,0.375,1.164898,1.6875,22.03125,13.5,21.625,8.5,1.125,209.664154,42,8.204173,17.5
"1998-03-18",3.40625,13.179137,9.75,32.5,7.583333,108,10.700362,0.372396,1.153977,1.6562,22.34375,12.625,21.375,8.5625,1.125,206.580856,42.75,8.258506,17.3125
"1998-03-19",3.4375,13.152185,9.875,32.5,7.583333,96.75,10.604707,0.385417,1.161258,1.6875,22.1875,13.25,21.125,8.5,1.125,203.497559,41.625,8.34,16.78125
"1998-03-20",3.4375,13.098285,9.625,32.5,7.583333,96.75,10.495378,0.421875,1.153977,1.8125,23.0625,13.9375,21.125,8.25,1.1875,221.99733,40.875,8.69316,16.375
"1998-03-23",3.46875,13.165662,9.75,32.5,7.5625,108,10.550042,0.427083,1.152157,1.6562,23.125,13.75,19.375,7.875,1.1875,231.247223,41.25,8.63883,16.5
"1998-03-24",3.46875,13.19261,9.25,32.5,7.520833,101.8116,10.645701,0.432292,1.153977,1.6562,22.90625,13.8125,20.5,7.9375,1.25,228.163925,41.25,8.421499,16.5
"1998-03-25",3.4375,13.28694,9.625,32.5,7.4375,101.25,10.686697,0.46875,1.150337,1.6562,23.875,14.25,19.5,7.75,1.1875,231.247223,40.875,8.475834,16.375
"1998-03-26",3.40625,13.233037,9.375,45.5,7.40625,99,10.796025,0.46875,1.157617,1.6562,23.5,14,18.9375,7.5625,1.1875,231.247223,43.875,8.421499,16.375
"1998-03-27",3.34375,13.057857,9.25,39,7.28125,92.25,10.850688,0.458333,1.152157,1.625,23.5,13.75,19.375,7.5,1.25,221.99733,41.812199,8.584496,16.25
"1998-03-30",3.3125,12.963526,9.25,39,7.166667,92.25,11.04201,0.460938,1.132135,1.75,23.90625,13.3125,19,7.5,1.1562,221.99733,41.25,8.421499,16.0625
"1998-03-31",3.09375,13.125236,9.75,39,7.375,90,11.014678,0.453125,1.048408,1.6875,23.375,13.5625,18.5625,7.375,1.1875,218.914032,42.75,8.421499,15.96875
"1998-04-01",3.125,12.963526,9.5,39,7.4375,103.5,11.219666,0.432292,0.997444,1.625,23.25,13.46875,17.9375,7.3125,1.1875,212.747452,44.25,8.584496,15.53125
