Date,CAT_AC,IBM_AC,MSFT_AC
2-Jan-87,3.38,20.44,0.14
5-Jan-87,3.48,20.71,0.15
6-Jan-87,3.48,20.6,0.15
7-Jan-87,3.45,20.69,0.16
8-Jan-87,3.44,20.58,0.17
9-Jan-87,3.51,20.48,0.17
12-Jan-87,3.53,20.16,0.19
13-Jan-87,3.57,19.51,0.18
14-Jan-87,3.63,19.87,0.18
15-Jan-87,3.72,20.1,0.19
16-Jan-87,3.74,20.1,0.19
19-Jan-87,3.79,20.98,0.19
20-Jan-87,3.79,20.56,0.2
21-Jan-87,3.71,20.56,0.2
22-Jan-87,3.69,21.34,0.22
23-Jan-87,3.53,21.15,0.2
26-Jan-87,3.52,21.32,0.21
27-Jan-87,3.61,21.67,0.22
28-Jan-87,3.6,21.78,0.22
29-Jan-87,3.63,21.55,0.21
30-Jan-87,3.67,21.57,0.22
2-Feb-87,3.75,22.15,0.22
3-Feb-87,3.9,22.28,0.22
4-Feb-87,3.91,22.64,0.22
5-Feb-87,3.99,23.12,0.22
6-Feb-87,3.93,22.93,0.21
9-Feb-87,3.89,22.59,0.21
10-Feb-87,3.86,22.53,0.21
11-Feb-87,3.91,22.63,0.22
12-Feb-87,3.92,22.4,0.23
13-Feb-87,4,22.71,0.23
17-Feb-87,4.06,23.37,0.23
18-Feb-87,4.04,23.31,0.22
19-Feb-87,4.02,23.5,0.21
20-Feb-87,3.95,23.58,0.2
23-Feb-87,3.92,24.21,0.22
24-Feb-87,3.84,24.15,0.23
25-Feb-87,3.9,23.94,0.22
26-Feb-87,3.88,23.54,0.23
27-Feb-87,3.87,23.56,0.23
2-Mar-87,3.87,23.39,0.22
3-Mar-87,3.82,23.33,0.22
4-Mar-87,3.86,23.62,0.24
5-Mar-87,3.82,23.71,0.25
6-Mar-87,3.82,23.54,0.25
9-Mar-87,3.86,23.45,0.25
10-Mar-87,3.96,24.13,0.25
11-Mar-87,3.96,23.94,0.26
12-Mar-87,3.94,24.36,0.26
13-Mar-87,3.94,24.47,0.25
16-Mar-87,3.9,24.43,0.25
17-Mar-87,3.91,24.85,0.26
18-Mar-87,3.86,24.7,0.27
19-Mar-87,3.93,24.83,0.27
20-Mar-87,3.97,25.1,0.27
23-Mar-87,4.05,25.29,0.27
24-Mar-87,4.05,25.82,0.27
25-Mar-87,4.04,26.28,0.27
26-Mar-87,4.06,26.01,0.27
27-Mar-87,4.04,25.46,0.28
30-Mar-87,4.03,25.73,0.29
31-Mar-87,4.07,25.35,0.29
1-Apr-87,4.09,25.52,0.27
2-Apr-87,4.08,24.99,0.29
3-Apr-87,4.22,25.25,0.3
6-Apr-87,4.27,25.23,0.3
7-Apr-87,4.28,24.74,0.28
8-Apr-87,4.2,24.87,0.29
9-Apr-87,4.03,24.32,0.29
10-Apr-87,4.03,24.49,0.29
13-Apr-87,3.97,24.93,0.28
14-Apr-87,3.93,25.02,0.28
15-Apr-87,3.97,25.48,0.29
16-Apr-87,4,25.33,0.3
20-Apr-87,3.95,25.33,0.29
21-Apr-87,4.11,26.51,0.29
22-Apr-87,4.03,26.05,0.3
23-Apr-87,4,26.05,0.3
24-Apr-87,3.94,25.63,0.3
27-Apr-87,3.86,26.05,0.3
28-Apr-87,3.86,26.22,0.32
29-Apr-87,3.99,26.79,0.31
30-Apr-87,4.07,27.04,0.31
1-May-87,4.1,27.13,0.32
4-May-87,4.12,27.53,0.32
5-May-87,4.27,28.18,0.35
6-May-87,4.47,28.16,0.34
7-May-87,4.66,28.03,0.36
8-May-87,4.8,27.84,0.38
11-May-87,4.8,27.71,0.37
12-May-87,4.76,28.12,0.36
13-May-87,4.69,28.26,0.37
14-May-87,4.59,28.07,0.37
15-May-87,4.59,27.31,0.36
18-May-87,4.57,27.37,0.35
19-May-87,4.48,26.65,0.33
20-May-87,4.31,26.63,0.33
21-May-87,4.33,26.73,0.34
22-May-87,4.35,26.63,0.33
26-May-87,4.47,27.31,0.33
27-May-87,4.56,27.37,0.33
28-May-87,4.56,27.65,0.35
29-May-87,4.39,27.2,0.35
1-Jun-87,4.47,27.14,0.34
2-Jun-87,4.47,26.73,0.34
3-Jun-87,4.47,27.24,0.34
4-Jun-87,4.48,27.44,0.34
5-Jun-87,4.42,27.2,0.33
8-Jun-87,4.49,27.41,0.33
9-Jun-87,4.56,27.18,0.33
10-Jun-87,4.52,26.82,0.31
11-Jun-87,4.58,26.8,0.29
12-Jun-87,4.63,26.63,0.3
15-Jun-87,4.56,27.14,0.3
16-Jun-87,4.59,27.54,0.3
17-Jun-87,4.61,27.44,0.31
18-Jun-87,4.58,27.35,0.32
19-Jun-87,4.65,27.44,0.31
22-Jun-87,4.68,27.75,0.31
23-Jun-87,4.67,28.03,0.31
24-Jun-87,4.64,28.24,0.32
25-Jun-87,4.74,28.54,0.31
26-Jun-87,4.7,28.31,0.32
29-Jun-87,4.6,28.12,0.31
30-Jun-87,4.52,27.63,0.31
1-Jul-87,4.45,27.88,0.31
2-Jul-87,4.46,27.92,0.3
6-Jul-87,4.39,28.07,0.29
7-Jul-87,4.38,27.86,0.27
8-Jul-87,4.5,28.35,0.28
9-Jul-87,4.62,28.26,0.29
10-Jul-87,4.93,28.39,0.29
13-Jul-87,5.06,28.88,0.3
14-Jul-87,5.1,28.48,0.32
15-Jul-87,5,28.56,0.31
16-Jul-87,5.06,28.58,0.31
17-Jul-87,5.34,28.39,0.31
20-Jul-87,5.27,27.99,0.3
21-Jul-87,5.21,27.67,0.3
22-Jul-87,5.32,27.44,0.3
23-Jul-87,5.32,27.22,0.29
24-Jul-87,5.34,27.41,0.3
27-Jul-87,5.49,27.56,0.3
28-Jul-87,5.52,27.41,0.3
29-Jul-87,5.48,27.46,0.3
30-Jul-87,5.51,27.61,0.29
31-Jul-87,5.5,27.37,0.28
3-Aug-87,5.49,27.07,0.28
4-Aug-87,5.4,27.1,0.28
5-Aug-87,5.41,27.24,0.29
6-Aug-87,5.44,27.9,0.3
7-Aug-87,5.54,28.14,0.31
10-Aug-87,5.55,28.54,0.31
11-Aug-87,5.55,28.93,0.31
12-Aug-87,5.62,29.17,0.3
13-Aug-87,5.61,29.68,0.31
14-Aug-87,5.55,29.66,0.31
17-Aug-87,5.64,29.87,0.31
18-Aug-87,5.51,29.59,0.31
19-Aug-87,5.48,29.55,0.31
20-Aug-87,5.55,29.91,0.32
21-Aug-87,5.64,29.91,0.32
24-Aug-87,5.55,29.89,0.34
25-Aug-87,5.55,29.44,0.35
26-Aug-87,5.49,28.74,0.35
27-Aug-87,5.31,28.46,0.35
28-Aug-87,5.25,28.5,0.36
31-Aug-87,5.24,28.82,0.36
1-Sep-87,5.21,27.88,0.34
2-Sep-87,5.18,27.82,0.35
3-Sep-87,5.15,27.67,0.35
4-Sep-87,5.22,27.52,0.34
8-Sep-87,5.47,27,0.34
9-Sep-87,5.57,26.92,0.34
10-Sep-87,5.72,27,0.34
11-Sep-87,5.85,27.58,0.35
14-Sep-87,5.87,27.73,0.36
15-Sep-87,5.73,26.96,0.35
16-Sep-87,5.66,26.81,0.35
17-Sep-87,5.64,27.03,0.35
18-Sep-87,5.75,26.6,0.35
21-Sep-87,5.77,25.76,0.32
22-Sep-87,5.87,26.66,0.34
23-Sep-87,6.05,26.4,0.36
24-Sep-87,6.22,26.68,0.37
25-Sep-87,6.12,26.7,0.37
28-Sep-87,6.19,26.15,0.39
29-Sep-87,6.2,25.76,0.39
30-Sep-87,6.23,25.81,0.4
1-Oct-87,6.25,26.47,0.41
2-Oct-87,6.22,26.58,0.44
5-Oct-87,6.26,26.79,0.48
6-Oct-87,6.08,25.85,0.44
7-Oct-87,6.01,26.15,0.44
8-Oct-87,5.97,25.93,0.43
9-Oct-87,5.9,25.23,0.43
12-Oct-87,5.77,25.59,0.43
13-Oct-87,5.93,25.46,0.44
14-Oct-87,5.8,24.86,0.43
15-Oct-87,5.72,23.99,0.42
