Country,Year,P99 income threshold,P99.5 income threshold,P99.9 income threshold
United States,1913,82677.22,135583.49,428630.39
United States,1914,76405.62,126910.52,410528.72
United States,1915,64409.44,122555.68,451668.29
United States,1916,77289.78,138102.28,518327.37
United States,1917,95326.69,154537.77,536356.49
United States,1918,95202.66,147850.09,457045.01
United States,1919,96788.61,150533.46,480016.2
United States,1920,83056.57,132648.8,380011.25
United States,1921,81803.8,126224.34,354562.8
United States,1922,91634.52,143497.17,413153.49
United States,1923,94626.41,149981.36,422816.24
United States,1924,99422.86,157528.59,447338.35
United States,1925,106718.27,167803.87,467051.01
United States,1926,110854.34,172641.07,481086.76
United States,1927,113354.05,175674.97,492389.43
United States,1928,116710.91,177077.79,502508.38
United States,1929,117437.18,178159.44,473119.32
United States,1930,103958.29,156045.16,417063.92
United States,1931,94184.36,138828.95,347636.94
United States,1932,80578.04,115722.66,305106.41
United States,1933,78407.51,112626.51,294948.82
United States,1934,87304.71,129050.76,348905.56
United States,1935,91515.22,134882.19,365870.05
United States,1936,106592.26,162709.57,460786.99
United States,1937,106563.74,163341.68,457887.38
United States,1938,96851.22,142028.48,362471.59
United States,1939,105979.79,156049.62,406390.2
United States,1940,111376.84,169381.97,442149.81
United States,1941,121630.72,188948.77,498270.45
United States,1942,120306.11,189140.57,499711.54
United States,1943,128458.82,202670.43,517176.13
United States,1944,132176.23,200048.53,489722
United States,1945,141141.91,215822.63,486670.72
United States,1946,145754.96,217656.22,485382.54
United States,1947,131047.24,194007.33,428871.31
United States,1948,133581.82,201033.54,458035.24
United States,1949,128703.96,190595.06,436116.05
United States,1950,138433.13,213494.57,482761.37
United States,1951,142358.97,206469.41,459372.34
United States,1952,140878.05,207672.42,431345.16
United States,1953,141596.99,203567.15,414436.07
United States,1954,144141.86,206652.05,417775.28
United States,1955,151433.52,216037.07,419454.11
United States,1956,161919.1,219921.6,434791.12
United States,1957,160314.11,220292.89,440736.83
United States,1958,155965.1,210750.85,415912.26
United States,1959,166599.06,234235.11,425447.59
United States,1960,164943.79,216924.39,406956.35
United States,1961,170006.75,212044.86,394873.47
United States,1962,175243.2,228116.38,412288.33
United States,1963,177106.47,230683.39,417699.79
United States,1964,178080.65,240415.13,426420.78
United States,1965,181574.47,251633.34,438800.84
United States,1966,197487.29,271973.29,490766.9
United States,1967,203730.56,278000.03,501718.73
United States,1968,210178.18,280259.26,517063.04
United States,1969,208298.85,281360.08,487388.42
United States,1970,205698,278105.21,498497.68
United States,1971,207724.22,275498.92,486115.26
United States,1972,215836.27,285575.59,504206.66
United States,1973,222840.89,292723.08,520135.9
United States,1974,218980.87,290961.95,570490.89
United States,1975,206014.13,274704.94,511029.77
United States,1976,208045.06,275550.63,512751.18
United States,1977,209035.76,277301.55,519522.26
United States,1978,213588.25,282982.26,537855.9
United States,1979,211560.32,282114.59,535725.83
United States,1980,208970.23,276801.06,533653.05
United States,1981,201606.27,263787.76,519101.99
United States,1982,201736.91,263286.89,523925.97
United States,1983,199515.31,261556.31,523636.12
United States,1984,207954.41,272987.33,558713.61
United States,1985,214705.26,278839.69,611925.3
United States,1986,217689.96,283055.45,542831.62
United States,1987,241106.64,334066.26,768639.92
United States,1988,265824.94,386570.03,1004560.48
United States,1989,269132.68,390886.98,964803.85
United States,1990,268736.11,397101.94,989060.77
United States,1991,262702.81,379112.59,886580.59
United States,1992,273342.76,405204.6,1002380.7
United States,1993,273534.87,387241.18,928224.43
United States,1994,280897.88,397921.41,947991.54
United States,1995,291552.2,419018.19,1003303.99
United States,1996,308368.51,453064.03,1134215.47
United States,1997,321174.8,476313.51,1247346.83
United States,1998,340427.52,505605.23,1331383.39
United States,1999,355874.11,530469.05,1439015.67
United States,2000,360605.19,541045.42,1530507.52
United States,2001,350490.14,517033.2,1407047.89
United States,2002,335413.55,487584.42,1276737.64
United States,2003,332186.14,480043.12,1263067.03
United States,2004,354305.39,508938.9,1396127.21
United States,2005,371942.13,541073.73,1550800.56
United States,2006,387127.42,579871.77,1648588.96
United States,2007,399058.98,597994.04,1703034.28
United States,2008,382315.31,564093.7,1564354.25
United States,2009,356070.71,514509.96,1343433.66
United States,2010,365065.7,530092.6,1417611.79
United States,2011,368243.07,534803.73,1423873.26
United States,2012,381074.66,571808.13,1598461.3
United States,2013,373497.86,548210.61,1449122.86
United States,2014,385727.31,571016.98,1532516.9
United States,2015,407760,606360,1635100
