"City","Population","Miles of Road","Daily Miles Traveled"
"New York--Newark, NY--NJ--CT", 18351295, 43893, 286101
"Los Angeles--Long Beach--Anaheim, CA", 12150996, 24877, 270807
"Chicago, IL--IN", 8608208, 25905, 172708
"Miami, FL", 5502379, 15641, 125899
"Philadelphia, PA--NJ--DE--MD", 5441567, 19867, 99190
"Dallas--Fort Worth--Arlington, TX", 5121892, 21610, 125389
"Houston, TX", 4944332, 18385, 107746
"Washington, DC--VA--MD", 4586770, 12330, 97736
"Atlanta, GA", 4515419, 21036, 129641
"Boston, MA--NH--RI", 4181019, 17103, 93719
"Detroit, MI", 3734090, 14819, 90406
"Phoenix--Mesa, AZ", 3629114, 12577, 77530
"San Francisco--Oakland, CA", 3281212, 7150, 66930
"Seattle, WA", 3059393, 12519, 70769
"San Diego, CA", 2956746, 5252, 65837
"Minneapolis--St. Paul, MN--WI", 2650890, 12283, 64807
"Tampa--St. Petersburg, FL", 2441770, 9689, 60872
"Denver--Aurora, CO", 2374203, 8430, 49492
"Baltimore, MD", 2203663, 7361, 52741
"St. Louis, MO--IL", 2150706, 11624, 65839
"San Juan, PR", 2148346, 7714, 31249
"Riverside--San Bernardino, CA", 1932666, 4998, 44557
"Las Vegas--Henderson, NV", 1886011, 4557, 33852
"Portland, OR--WA", 1849898, 7156, 34829
"Cleveland, OH", 1780673, 7261, 39726
"San Antonio, TX", 1758210, 6097, 38147
"Pittsburgh, PA", 1733853, 9451, 33079
"Sacramento, CA", 1723634, 5109, 34961
"San Jose, CA", 1664496, 3693, 35985
"Cincinnati, OH--KY--IN", 1624827, 6951, 43561
"Kansas City, MO--KS", 1519417, 9348, 43997
"Orlando, FL", 1510516, 5629, 41394
"Indianapolis, IN", 1487483, 6792, 46424
"Virginia Beach, VA", 1439666, 6665, 36427
"Milwaukee, WI", 1376476, 6170, 27806
"Columbus, OH", 1368035, 5342, 31613
"Austin, TX", 1362416, 5035, 29016
"Charlotte, NC--SC", 1249442, 4559, 32967
"Providence, RI--MA", 1190956, 6369, 25490
"Jacksonville, FL", 1065219, 5437, 31468
"Memphis, TN--MS--AR", 1060061, 4805, 26611
"Salt Lake City--West Valley City, UT", 1021243, 3159, 21933
"Louisville/Jefferson County, KY--IN", 972546, NA, NA
"Nashville-Davidson, TN", 969587, 5712, 34678
"Richmond, VA", 953556, 5035, 26414
"Buffalo, NY", 935906, 4372, 20717
"Hartford, CT", 924859, 4125, 22239
"Bridgeport--Stamford, CT--NY", 923311, 3958, 19976
"New Orleans, LA", 899703, 3533, 14751
"Raleigh, NC", 884891, 4293, 25618
"Oklahoma City, OK", 861505, 4930, 31619
"Tucson, AZ", 843168, 3855, 18270
"El Paso, TX--NM", 803086, 2506, 14342
"Urban Honolulu, HI", 802459, 1116, 12977
"Birmingham, AL", 749495, 4999, 25943
"Albuquerque, NM", 741318, 2543, 15167
"McAllen, TX", 728825, 3762, 12839
"Omaha, NE--IA", 725008, 2789, 13512
"Dayton, OH", 724091, 3829, 19162
"Rochester, NY", 720572, 3219, 15831
"Allentown, PA--NJ", 664651, 3084, 13590
"Tulsa, OK", 655479, 3562, 20518
"Fresno, CA", 654628, 2392, 12199
"Sarasota--Bradenton, FL", 643260, 3380, 16439
"Springfield, MA--CT", 621300, 3265, 14176
"Concord, CA", 615968, 1732, 14529
"Albany--Schenectady, NY", 594962, 3078, 15826
"Baton Rouge, LA", 594309, 2543, 15173
"Mission Viejo--Lake Forest--San Clemente, CA", 583681, 1546, 12572
"Grand Rapids, MI", 569935, 2737, 15058
"Akron, OH", 569499, 3385, 14406
"New Haven, CT", 562839, 2534, 13497
"Colorado Springs, CO", 559409, 2579, 10676
"Knoxville, TN", 558696, 3506, 16317
"Columbia, SC", 549777, 2322, 13223
"Charleston--North Charleston, SC", 548404, 1728, 11560
"Ogden--Layton, UT", 546026, 2455, 10919
"Cape Coral, FL", 530290, 2716, 12956
"Bakersfield, CA", 523994, 1615, 8125
"Toledo, OH--MI", 507643, 2468, 12235
"Worcester, MA--CT", 486514, 2533, 12149
"Provo--Orem, UT", 482819, 2737, 9881
"Wichita, KS", 472870, 2988, 11075
"Palm Bay--Melbourne, FL", 452791, 2687, 13455
"Des Moines, IA", 450070, 2261, 10140
"Harrisburg, PA", 444474, 2181, 10391
"Murrieta--Temecula--Menifee, CA", 441546, NA, NA
"Little Rock, AR", 431388, 2882, 13641
"Poughkeepsie--Newburgh, NY--NJ", 423566, 3236, 13109
"Syracuse, NY", 412317, 2059, 10043
"Lancaster, PA", 402004, 1731, 6904
"Madison, WI", 401661, 1679, 7074
"Greenville, SC", 400492, 2114, 9133
"Reno, NV--CA", 392141, 1194, 7052
"Winston-Salem, NC", 391024, 2228, 11353
"Spokane, WA", 387847, 2029, 7493
"Youngstown, OH--PA", 387550, 2614, 9525
"Augusta-Richmond County, GA--SC", 386787, 2461, 9831
"Scranton, PA", 381502, 2090, 7784
"Chattanooga, TN--GA", 381112, 2788, 11628
"Port St. Lucie, FL", 376047, 1978, 11007
"Stockton, CA", 370583, 1138, 7242
"Oxnard, CA", 367260, 1264, 7729
"Denton--Lewisville, TX", 366174, 1665, 8670
"Modesto, CA", 358172, 1148, 5735
"Flint, MI", 356218, 1994, 10060
"Jackson, MS", 351478, 2994, 15078
"Boise City, ID", 349684, 1615, 6947
"Palm Coast--Daytona Beach--Port Orange, FL", 349064, NA, NA
"Durham, NC", 347602, 1667, 10139
"Indio--Cathedral City, CA", 345580, 1209, 7047
"Lancaster--Palmdale, CA", 341219, 1106, 5737
"Pensacola, FL--AL", 340067, 2856, 11803
"Victorville--Hesperia, CA", 328454, 1274, 5223
"Mobile, AL", 326183, 2202, 10847
"Corpus Christi, TX", 320069, 1730, 7883
"Kissimmee, FL", 314071, 1255, 6746
"Lansing, MI", 313532, 1499, 6653
"Fort Wayne, IN", 313492, 1595, 9017
"Greensboro, NC", 311810, 1781, 10124
"Bonita Springs, FL", 310298, 1381, 8127
"Fayetteville, NC", 310282, 1808, 8373
"Santa Rosa, CA", 308231, 847, 5881
"Aguadilla--Isabela--San Sebastián, PR", 306196, 1695, 3410
"Ann Arbor, MI", 306022, 1279, 8440
"Shreveport, LA", 298317, 1888, 8706
"Rockford, IL", 296863, 1839, 6630
"Trenton, NJ", 296668, 1080, 7051
"Fayetteville--Springdale--Rogers, AR--MO", 295083, 1440, 6640
"Round Lake Beach--McHenry--Grayslake, IL--WI", 290373, 226, 363
"Lexington-Fayette, KY", 290263, 1004, 5639
"Huntsville, AL", 286692, 1677, 8090
"Asheville, NC", 280648, 2195, 10298
"Davenport, IA--IL", 280051, 1721, 6129
"Canton, OH", 279245, 1825, 5779
"South Bend, IN--MI", 278165, 1671, 7399
"Antioch, CA", 277634, 713, 3910
"Springfield, MO", 273724, 1498, 6668
"Peoria, IL", 266921, 1415, 5484
"Reading, PA", 266254, 1217, 4766
"Fort Collins, CO", 264465, 1299, 5160
"Montgomery, AL", 263907, 1806, 8830
"Lakeland, FL", 262596, 1688, 6599
"Savannah, GA", 260677, 1256, 7203
"Lincoln, NE", 258719, 1372, 4946
"Santa Clarita, CA", 258653, 259, 2549
"Columbus, GA--AL", 253602, 2275, 6212
"Lafayette, LA", 252720, 1126, 5874
"Anchorage, AK", 251243, 1246, 3392
"Atlantic City, NJ", 248402, 1458, 5990
"Eugene, OR", 247421, 1071, 4339
"Barnstable Town, MA", 246695, 2755, 8775
"Tallahassee, FL", 240223, 1187, 6351
"Conroe--The Woodlands, TX", 239938, NA, NA
"Lubbock, TX", 237356, 1422, 4670
"Salem, OR", 236632, 896, 4071
"Laredo, TX", 235730, 844, 3161
"York, PA", 232045, 1212, 4278
"Evansville, IN--KY", 229351, 1251, 6177
"Nashua, NH--MA", 226400, 1202, 4893
"Wilmington, NC", 219957, 982, 5257
"Visalia, CA", 219454, 503, 2299
"Killeen, TX", 217630, 964, 3266
"Brownsville, TX", 217585, 766, 3120
"Appleton, WI", 216154, 1253, 4056
"Myrtle Beach--Socastee, SC--NC", 215304, 760, 5300
"Concord, NC", 214881, 1039, 4760
"Thousand Oaks, CA", 214811, 690, 6251
"Aberdeen--Bel Air South--Bel Air North, MD", 213751, 827, 4060
"Hickory, NC", 212195, 1840, 6982
"Kennewick--Pasco, WA", 210975, 1214, 3525
"Roanoke, VA", 210111, 1200, 5103
"Kalamazoo, MI", 209703, 1143, 5062
"Norwich--New London, CT--RI", 209190, 1269, 5973
"Gulfport, MS", 208948, 1574, 6962
"Green Bay, WI", 206520, 1202, 4062
"Portland, ME", 203914, 1075, 4575
"Huntington, WV--KY--OH", 202637, 1353, 4685
"Winter Haven, FL", 201289, 1395, 5309
"Bremerton, WA", 198979, 940, 3514
"Avondale--Goodyear, AZ", 197041, 641, 3151
"Amarillo, TX", 196651, 1361, 4204
"Erie, PA", 196611, 925, 2915
"Santa Barbara, CA", 195861, 708, 4299
"Waterbury, CT", 194535, 819, 3388
"Fort Walton Beach--Navarre--Wright, FL", 191917, 1471, 5090
"Gainesville, FL", 187781, 1019, 4186
"Salinas, CA", 184809, 344, 2789
"Hagerstown, MD--WV--PA", 182696, 688, 4170
"Deltona, FL", 182169, 1070, 3769
"Lorain--Elyria, OH", 180956, 1425, 6223
"Spartanburg, SC", 180786, 1177, 5026
"Cedar Rapids, IA", 177844, 1040, 3665
"Fargo, ND--MN", 176676, 706, 3230
"Olympia--Lacey, WA", 176617, 788, 4134
"Waco, TX", 172378, 1325, 4960
"College Station--Bryan, TX", 171345, 778, 3336
"McKinney, TX", 170030, 359, 2506
"North Port--Port Charlotte, FL", 169541, 2055, 4589
"Gastonia, NC--SC", 169495, 829, 4205
"Danbury, CT--NY", 168136, 835, 3615
"High Point, NC", 166485, 1305, 4974
"Vallejo, CA", 165074, 483, 3323
"Santa Cruz, CA", 163703, 447, 3495
"Hemet, CA", 163379, 372, 1367
"Springfield, IL", 161316, 1098, 4004
"Muskegon, MI", 161280, 989, 3644
"Clarksville, TN--KY", 158655, 852, 3292
"Manchester, NH", 158377, 840, 3622
"Binghamton, NY--PA", 158084, 1091, 4815
"Ocala, FL", 156909, 1380, 4639
"Sioux Falls, SD", 156777, 926, 2819
"Medford, OR", 154081, 822, 2746
"Charleston, WV", 153199, 1249, 6350
"Port Arthur, TX", 153150, NA, NA
"Nampa, ID", 151499, 800, 2756
"Topeka, KS", 150003, 1192, 3457
"Ponce, PR", 149539, 579, 2358
"New Bedford, MA", 149443, 684, 2708
"Sebastian--Vero Beach South--Florida Ridge, FL", 149422, NA, NA
"Spring Hill, FL", 148220, NA, NA
"Beaumont, TX", 147922, 1785, 7418
"Lafayette, IN", 147725, 583, 2317
"Champaign, IL", 145361, 599, 2363
"Marysville, WA", 145140, NA, NA
