"city" "gmp" "pcgmp" "fold"
"1" "Abilene, TX" 3.887e+09 24490 1
"2" "Akron, OH" 2.2998e+10 32889 2
"3" "Albany, GA" 3.955e+09 24269 2
"4" "Albany-Schenectady-Troy, NY" 3.1321e+10 36836 3
"5" "Albuquerque, NM" 3.0727e+10 37657 1
"6" "Alexandria, LA" 3.879e+09 25494 3
"7" "Allentown-Bethlehem-Easton, PA-NJ" 2.3964e+10 30165 3
"8" "Altoona, PA" 3.39e+09 27008 2
"9" "Amarillo, TX" 7.041e+09 29360 2
"10" "Ames, IA" 2.971e+09 35574 1
"11" "Anchorage, AK" 1.7762e+10 49502 3
"12" "Anderson, IN" 3.054e+09 23313 1
"13" "Anderson, SC" 4.059e+09 22939 2
"14" "Ann Arbor, MI" 1.6162e+10 46687 3
"15" "Anniston-Oxford, AL" 3.062e+09 27198 3
"16" "Appleton, WI" 7.875e+09 36436 2
"17" "Asheville, NC" 1.1188e+10 28183 3
"18" "Athens-Clarke County, GA" 4.919e+09 26922 3
"19" "Atlanta-Sandy Springs-Marietta, GA" 2.28957e+11 44771 2
"20" "Atlantic City-Hammonton, NJ" 1.1433e+10 42451 3
"21" "Auburn-Opelika, AL" 2.841e+09 22206 3
"22" "Augusta-Richmond County, GA-SC" 1.4234e+10 27264 3
"23" "Austin-Round Rock, TX" 6.5973e+10 43203 2
"24" "Bakersfield, CA" 1.9402e+10 25190 1
"25" "Baltimore-Towson, MD" 1.07419e+11 40413 1
"26" "Bangor, ME" 4.412e+09 29846 2
"27" "Barnstable Town, MA" 7.086e+09 31731 1
"28" "Baton Rouge, LA" 2.7153e+10 35560 2
"29" "Battle Creek, MI" 4.273e+09 31149 3
"30" "Bay City, MI" 2.468e+09 22871 1
"31" "Beaumont-Port Arthur, TX" 1.1056e+10 29575 2
"32" "Bellingham, WA" 5.437e+09 28874 2
"33" "Bend, OR" 5.276e+09 35451 2
"34" "Billings, MT" 4.917e+09 33298 3
"35" "Binghamton, NY" 6.465e+09 26235 3
"36" "Birmingham-Hoover, AL" 4.3443e+10 39483 2
"37" "Bismarck, ND" 3.374e+09 33357 3
"38" "Blacksburg-Christiansburg-Radford, VA" 4.33e+09 27794 1
"39" "Bloomington, IN" 4.537e+09 24992 3
"40" "Bloomington-Normal, IL" 6.596e+09 40807 2
