"Name","PA","OBP"
"Mike Trout",705,0.377
"Andrew McCutchen",648,0.41
"Michael Brantley",676,0.385
"Anthony Rendon",683,0.351
"Alex Gordon",643,0.351
"Josh Donaldson",695,0.342
"Jose Bautista",673,0.403
"Jonathan Lucroy",655,0.373
"Giancarlo Stanton",638,0.395
"Carlos Gomez",644,0.356
"Adrian Beltre",614,0.388
"Buster Posey",605,0.364
"Ben Zobrist",654,0.354
"Anthony Rizzo",616,0.386
"Kyle Seager",654,0.334
"Ian Kinsler",726,0.307
"Adam Jones",682,0.311
"Jhonny Peralta",628,0.336
"Miguel Cabrera",685,0.371
"Jose Abreu",622,0.383
"Russell Martin",460,0.402
"Robinson Cano",665,0.382
"Jose Altuve",707,0.377
"Yasiel Puig",640,0.382
"Jason Heyward",649,0.351
"Troy Tulowitzki",375,0.432
"Steve Pearce",383,0.373
"Josh Harrison",550,0.347
"Lorenzo Cain",502,0.339
"Jayson Werth",629,0.394
"Hunter Pence",708,0.332
"Todd Frazier",660,0.336
"Brian Dozier",707,0.345
"Yan Gomes",518,0.313
"Howie Kendrick",674,0.347
"Victor Martinez",641,0.409
"Chase Headley",531,0.328
"Dustin Pedroia",609,0.337
"Devin Mesoraco",440,0.359
"Paul Goldschmidt",479,0.396
"Christian Yelich",660,0.362
"Freddie Freeman",708,0.386
"Ian Desmond",648,0.313
"Chase Utley",664,0.339
"Erick Aybar",641,0.321
"Starling Marte",545,0.356
"Justin Upton",641,0.342
"Nelson Cruz",678,0.333
"Denard Span",668,0.355
"Kevin Kiermaier",364,0.315
"Juan Lagares",452,0.321
"Juan Uribe",404,0.337
"Matt Carpenter",709,0.375
"Matt Holliday",667,0.37
"Neil Walker",571,0.342
"J.D. Martinez",480,0.358
"Marcell Ozuna",612,0.317
"Jacoby Ellsbury",635,0.328
"Kole Calhoun",537,0.325
"Jimmy Rollins",609,0.323
"Edwin Encarnacion",542,0.354
"Billy Hamilton",611,0.292
"Trevor Plouffe",582,0.328
"Leonys Martin",583,0.325
"Adrian Gonzalez",660,0.335
"Alcides Escobar",620,0.317
"J.J. Hardy",569,0.309
"Yoenis Cespedes",645,0.301
"Hanley Ramirez",512,0.369
"Evan Longoria",700,0.32
"Desmond Jennings",542,0.319
"Alexei Ramirez",657,0.305
"Albert Pujols",695,0.324
"Jose Reyes",655,0.328
"A.J. Pollock",287,0.353
"Salvador Perez",606,0.289
"Danny Santana",430,0.353
