"","Rank","Time","Wind","Name","Country","Birthdate","City","Date","CityDate"
"2306",2276,10.08,0.5,"Bruny Surin","CAN","12.07.67","&Eacute;vry-Bondoufle","11.07.1994","&Eacute;vry-Bondoufle 11.07.1994"
"1249",1202,10.03,-2.1,"Donovan Bailey","CAN","16.12.67","Abbotsford","19.07.1997","Abbotsford 19.07.1997"
"1599",1581,10.05,1.2,"Davidson Ezinwa","NGR","22.11.71","Abbotsford","23.05.1992","Abbotsford 23.05.1992"
"2650",2532,10.09,2,"Christie van Wyk","NAM","12.10.77","Abilene","20.05.2004","Abilene 20.05.2004"
"2297",2276,10.08,1.2,"Bryan Bridgewater","USA","07.09.70","Abilene","29.05.1993","Abilene 29.05.1993"
"2119",2011,10.07,0.2,"Tamunosiki Atorudibo","NGR","21.03.85","Abuja","08.07.2004","Abuja 08.07.2004"
"2385",2276,10.08,0.3,"Tamunosiki Atorudibo","NGR","21.03.85","Abuja","10.07.2004","Abuja 10.07.2004"
"428",413,9.95,0.6,"Deji Aliu","NGR","22.11.75","Abuja","12.10.2003","Abuja 12.10.2003"
"674",650,9.98,0,"Deji Aliu","NGR","22.11.75","Abuja","19.07.2003","Abuja 19.07.2003"
"2074",2011,10.07,0.4,"Donovan Bailey","CAN","16.12.67","Ad-Dawhah","07.05.1998","Ad-Dawhah 07.05.1998"
"897",834,10,1.4,"Travis Padgett","USA","13.12.86","Ad-Dawhah","08.05.2009","Ad-Dawhah 08.05.2009"
"1001",954,10.01,1.4,"Jaysuma Saidy Ndure","NOR","01.01.84","Ad-Dawhah","09.05.2008","Ad-Dawhah 09.05.2008"
"623",557,9.97,1.2,"Justin Gatlin","USA","10.02.82","Ad-Dawhah","10.05.2013","Ad-Dawhah 10.05.2013"
"141",131,9.87,0.4,"Justin Gatlin","USA","10.02.82","Ad-Dawhah","11.05.2012","Ad-Dawhah 11.05.2012"
"87",83,9.85,1.7,"Adekotunbo Olusoji Fasuba","NGR","09.07.84","Ad-Dawhah","12.05.2006","Ad-Dawhah 12.05.2006"
"1675",1581,10.05,0.5,"Francis Obikwelu","POR","22.11.78","Ad-Dawhah","13.05.2005","Ad-Dawhah 13.05.2005"
"2370",2276,10.08,0,"Bernard Williams","USA","19.01.78","Ad-Dawhah","15.05.2002","Ad-Dawhah 15.05.2002"
"10",9,9.74,0.9,"Justin Gatlin","USA","10.02.82","Ad-Dawhah","15.05.2015","Ad-Dawhah 15.05.2015"
"302",302,9.93,1.4,"Calvin Smith","USA","08.01.61","Air Force Academy","03.07.1983","Air Force Academy 03.07.1983"
"2717",2532,10.09,1,"Christophe Lemaitre","FRA","11.06.90","Aix-les-Bains","01.05.2010","Aix-les-Bains 01.05.2010"
"2536",2532,10.09,1.3,"Antoine Richard","FRA","08.09.60","Aix-les-Bains","09.08.1986","Aix-les-Bains 09.08.1986"
"462",413,9.95,1.7,"Jimmy Vicaut","FRA","27.02.92","Aix-les-Bains","18.05.2014","Aix-les-Bains 18.05.2014"
