"Rank","Time","Wind","Name","Country","Birthdate","City","Date"
1,10.49,"0.0","Florence Griffith-Joyner","USA","21.12.59","Indianapolis","16.07.1988"
2,10.61,"+1.2","Florence Griffith-Joyner","USA","21.12.59","Indianapolis","17.07.1988"
3,10.62,"+1.0","Florence Griffith-Joyner","USA","21.12.59","Seoul","24.09.1988"
4,10.64,"+1.2","Carmelita Jeter","USA","24.11.79","Shanghai","20.09.2009"
5,10.65,"+1.1","Marion Jones","USA","12.10.75","Johannesburg","12.09.1998"
6,10.67,"-0.1","Carmelita Jeter","USA","24.11.79","Thessalon&iacute;ki","13.09.2009"
7,10.7,"+1.6","Florence Griffith-Joyner","USA","21.12.59","Indianapolis","17.07.1988"
7,10.7,"-0.1","Marion Jones","USA","12.10.75","Sevilla","22.08.1999"
7,10.7,"+2.0","Carmelita Jeter","USA","24.11.79","Eugene","04.06.2011"
7,10.7,"+0.6","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Kingston","29.06.2012"
7,10.7,"+0.3","Elaine Thompson","JAM","28.06.92","Kingston","01.07.2016"
12,10.71,"+0.1","Marion Jones","USA","12.10.75","Chengdu","12.05.1998"
12,10.71,"+2.0","Marion Jones","USA","12.10.75","New Orleans","19.06.1998"
12,10.71,"-0.3","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Moskva","12.08.2013"
12,10.71,"+0.5","Elaine Thompson","JAM","28.06.92","Rio de Janeiro","13.08.2016"
16,10.72,"+2.0","Marion Jones","USA","12.10.75","New Orleans","20.06.1998"
16,10.72,"0.0","Marion Jones","USA","12.10.75","Monaco","08.08.1998"
16,10.72,"0.0","Marion Jones","USA","12.10.75","Lausanne","25.08.1998"
16,10.72,"-0.3","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Bruxelles","06.09.2013"
20,10.73,"+2.0","Christine Arron","FRA","13.09.73","Budapest","19.08.1998"
20,10.73,"+0.1","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Berlin","17.08.2009"
22,10.74,"+1.3","Merlene Ottey","JAM","10.05.60","Milano","07.09.1996"
22,10.74,"+0.2","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Saint-Denis","04.07.2015"
22,10.74,"+1.0","English Gardner","USA","22.04.92","Eugene","03.07.2016"
25,10.75,"+0.6","Marion Jones","USA","12.10.75","Roma","14.07.1998"
25,10.75,"+0.4","Kerron Stewart","JAM","16.04.84","Roma","10.07.2009"
25,10.75,"+0.1","Kerron Stewart","JAM","16.04.84","Berlin","17.08.2009"
25,10.75,"+1.5","Shelly-Ann Fraser-Pryce","JAM","27.12.86","London","04.08.2012"
29,10.76,"+1.7","Evelyn Ashford","USA","15.04.57","Z&uuml;rich","22.08.1984"
29,10.76,"+0.9","Marion Jones","USA","12.10.75","Bruxelles","22.08.1997"
29,10.76,"+0.3","Marion Jones","USA","12.10.75","Sevilla","21.08.1999"
29,10.76,"+1.1","Veronica Campbell-Brown","JAM","16.05.82","Ostrava","31.05.2011"
29,10.76,"-0.3","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Beijing","24.08.2015"
34,10.77,"+0.9","Irina Privalova","RUS","12.11.68","Lausanne","06.07.1994"
34,10.77,"-0.9","Marion Jones","USA","12.10.75","Z&uuml;rich","12.08.1998"
34,10.77,"+0.7","Ivet Lalova-Collio","BUL","18.05.84","Plovdiv","19.06.2004"
34,10.77,"+0.7","Shelly-Ann Fraser-Pryce","JAM","27.12.86","London","27.07.2013"
38,10.78,"+1.0","Dawn Sowell","USA","27.03.66","Provo","03.06.1989"
38,10.78,"+1.7","Merlene Ottey","JAM","10.05.60","Sevilla","30.05.1990"
38,10.78,"+0.4","Merlene Ottey","JAM","10.05.60","Paris","03.09.1994"
38,10.78,"+1.1","Marion Jones","USA","12.10.75","London","05.08.2000"
38,10.78,"+1.8","Torri Edwards","USA","31.01.77","Eugene","28.06.2008"
38,10.78,"0.0","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Beijing","17.08.2008"
38,10.78,"+0.8","Veronica Campbell-Brown","JAM","16.05.82","Eugene","03.07.2010"
38,10.78,"+0.4","Carmelita Jeter","USA","24.11.79","Bruxelles","16.09.2011"
38,10.78,"+1.5","Carmelita Jeter","USA","24.11.79","London","04.08.2012"
38,10.78,"+1.6","Murielle Ahour&eacute;","CIV","23.08.87","Montverde","11.06.2016"
38,10.78,"+1.0","Tianna Bartoletta","USA","30.08.85","Eugene","03.07.2016"
38,10.78,"+1.0","Tori Bowie","USA","27.08.90","Eugene","03.07.2016"
38,10.78,"+0.8","Elaine Thompson","JAM","28.06.92","Lausanne","25.08.2016"
51,10.79,"+0.6","Evelyn Ashford","USA","15.04.57","Colorado Springs","03.07.1983"
51,10.79,"+1.7","Merlene Ottey","JAM","10.05.60","Vigo","23.07.1991"
51,10.79,"0.0","Li Xuemei","CHN","05.01.77","Shanghai","18.10.1997"
51,10.79,"-0.6","Marion Jones","USA","12.10.75","Osaka","09.05.1998"
51,10.79,"-0.1","Inger Miller","USA","12.06.72","Sevilla","22.08.1999"
51,10.79,"-0.1","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Berlin","17.08.2009"
51,10.79,"+1.1","Blessing Okagbare","NGR","10.09.88","London","27.07.2013"
51,10.79,"+1.5","English Gardner","USA","22.04.92","Eugene","26.06.2015"
51,10.79,"+0.4","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Kingston","26.06.2015"
60,10.8,"+1.6","Merlene Ottey","JAM","10.05.60","Salamanca","13.07.1992"
60,10.8,"-0.8","Marion Jones","USA","12.10.75","Bruxelles","28.08.1998"
60,10.8,"+1.1","Marion Jones","USA","12.10.75","Lausanne","02.07.1999"
60,10.8,"+1.4","Marion Jones","USA","12.10.75","London","07.08.1999"
60,10.8,"+0.7","Kerron Stewart","JAM","16.04.84","Kingston","28.06.2008"
60,10.8,"+0.8","Tori Bowie","USA","27.08.90","Monaco","18.07.2014"
60,10.8,"+0.2","Blessing Okagbare","NGR","10.09.88","Saint-Denis","04.07.2015"
60,10.8,"+0.7","Tori Bowie","USA","27.08.90","Ad-Dawhah","06.05.2016"
68,10.81,"+1.7","Marlies G&ouml;hr","GDR","21.03.58","Berlin","08.06.1983"
68,10.81,"+1.2","Evelyn Ashford","USA","15.04.57","Indianapolis","17.07.1988"
68,10.81,"+0.8","Marion Jones","USA","12.10.75","Berlin","26.08.1997"
68,10.81,"+1.3","Christine Arron","FRA","13.09.73","Budapest","19.08.1998"
68,10.81,"+0.2","Marion Jones","USA","12.10.75","Berlin","01.09.1998"
68,10.81,"+0.1","Inger Miller","USA","12.06.72","Sevilla","22.08.1999"
68,10.81,"+1.0","Carmelita Jeter","USA","24.11.79","Kingston","05.05.2012"
68,10.81,"+1.5","Veronica Campbell-Brown","JAM","16.05.82","London","04.08.2012"
68,10.81,"+0.7","Carmelita Jeter","USA","24.11.79","Birmingham","26.08.2012"
68,10.81,"+1.7","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Eugene","30.05.2015"
68,10.81,"+1.7","Murielle Ahour&eacute;","CIV","23.08.87","Eugene","30.05.2015"
68,10.81,"+1.2","Tori Bowie","USA","27.08.90","Eugene","26.06.2015"
68,10.81,"-0.3","Dafne Schippers","NED","15.06.92","Beijing","24.08.2015"
68,10.81,"+1.5","English Gardner","USA","22.04.92","Eugene","28.05.2016"
82,10.82,"+1.4","Merlene Ottey","JAM","10.05.60","Berlin","17.08.1990"
82,10.82,"+2.0","Irina Privalova","RUS","12.11.68","Moskva","22.06.1992"
82,10.82,"-1.0","Gail Devers","USA","19.11.66","Barcelona","01.08.1992"
82,10.82,"+1.5","Gail Devers","USA","19.11.66","Lausanne","07.07.1993"
82,10.82,"-0.3","Gail Devers","USA","19.11.66","Stuttgart","16.08.1993"
82,10.82,"-0.3","Merlene Ottey","JAM","10.05.60","Stuttgart","16.08.1993"
82,10.82,"+0.4","Gwen Torrence","USA","12.06.65","Paris","03.09.1994"
82,10.82,"+1.1","Gwen Torrence","USA","12.06.65","Atlanta","15.06.1996"
82,10.82,"-0.5","Marion Jones","USA","12.10.75","Oslo","09.07.1998"
82,10.82,"-0.3","Zhanna Block","UKR","06.07.72","Edmonton","06.08.2001"
82,10.82,"-0.7","Sherone Simpson","JAM","12.08.84","Kingston","24.06.2006"
82,10.82,"+0.8","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Eugene","03.07.2010"
82,10.82,"+0.4","Carmelita Jeter","USA","24.11.79","Monaco","22.07.2010"
82,10.82,"+0.6","Veronica Campbell-Brown","JAM","16.05.82","Kingston","29.06.2012"
82,10.82,"+1.7","Tori Bowie","USA","27.08.90","Eugene","30.05.2015"
82,10.82,"+0.5","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Beijing","24.08.2015"
98,10.83,"+1.7","Marita Koch","GDR","18.02.57","Berlin","08.06.1983"
98,10.83,"0.0","Sheila Echols","USA","02.10.64","Indianapolis","16.07.1988"
98,10.83,"-1.0","Juliet Cuthbert","JAM","09.04.64","Barcelona","01.08.1992"
98,10.83,"0.0","Gwen Torrence","USA","12.06.65","Bruxelles","19.08.1994"
98,10.83,"+1.3","Gail Devers","USA","19.11.66","Milano","07.09.1996"
98,10.83,"+0.4","Marion Jones","USA","12.10.75","Ath&iacute;nai","03.08.1997"
98,10.83,"+0.9","Merlene Ottey","JAM","10.05.60","Bruxelles","22.08.1997"
98,10.83,"-0.4","Merlene Ottey","JAM","10.05.60","Tokyo","06.09.1997"
98,10.83,"+2.0","Irina Privalova","RUS","12.11.68","Budapest","19.08.1998"
98,10.83,"+0.4","Marion Jones","USA","12.10.75","Moskva","05.09.1998"
98,10.83,"-0.1","Marion Jones","USA","12.10.75","Sevilla","22.08.1999"
98,10.83,"+0.1","Ekater&iacute;ni Th&aacute;nou","GRE","01.02.75","Sevilla","22.08.1999"
98,10.83,"-1.3","Marion Jones","USA","12.10.75","Bruxelles","25.08.2000"
98,10.83,"+0.4","Zhanna Block","UKR","06.07.72","Heusden-Zolder","20.07.2002"
98,10.83,"-0.1","Carmelita Jeter","USA","24.11.79","Berlin","17.08.2009"
98,10.83,"-0.4","Carmelita Jeter","USA","24.11.79","Daegu","25.09.2009"
98,10.83,"+0.8","Carmelita Jeter","USA","24.11.79","Eugene","03.07.2010"
98,10.83,"+1.5","Carmelita Jeter","USA","24.11.79","London","03.08.2012"
98,10.83,"0.0","Carmelita Jeter","USA","24.11.79","London","04.08.2012"
98,10.83,"-0.4","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Z&uuml;rich","30.08.2012"
98,10.83,"+1.6","Kelly-Ann Baptiste","TTO","14.10.86","Port of Spain","22.06.2013"
98,10.83,"-0.2","Dafne Schippers","NED","15.06.92","Beijing","24.08.2015"
98,10.83,"+0.7","Dafne Schippers","NED","15.06.92","Ad-Dawhah","06.05.2016"
98,10.83,"+1.6","Veronica Campbell-Brown","JAM","16.05.82","Montverde","11.06.2016"
98,10.83,"+0.5","Tori Bowie","USA","27.08.90","Rio de Janeiro","13.08.2016"
123,10.84,"+1.7","Marlies G&ouml;hr","GDR","21.03.58","Z&uuml;rich","22.08.1984"
123,10.84,"0.0","Merlene Ottey","JAM","10.05.60","Lausanne","10.07.1991"
123,10.84,"+0.2","Merlene Ottey","JAM","10.05.60","Berlin","10.09.1991"
123,10.84,"+1.3","Chioma Ajunwa","NGR","25.12.70","Lagos","11.04.1992"
123,10.84,"-1.0","Irina Privalova","RUS","12.11.68","Barcelona","01.08.1992"
123,10.84,"+1.4","Gwen Torrence","USA","12.06.65","G&ouml;teborg","07.08.1995"
123,10.84,"-0.5","Gail Devers","USA","19.11.66","Bruxelles","23.08.1996"
123,10.84,"+0.3","Marion Jones","USA","12.10.75","Linz","05.07.1998"
123,10.84,"-0.1","Ekater&iacute;ni Th&aacute;nou","GRE","01.02.75","Sevilla","22.08.1999"
123,10.84,"-0.7","Marion Jones","USA","12.10.75","Osaka","13.05.2000"
123,10.84,"+0.6","Zhanna Block","UKR","06.07.72","Rethimn&oacute;","07.07.2002"
123,10.84,"+1.9","Chandra Sturrup","BAH","12.09.71","Lausanne","05.07.2005"
123,10.84,"-0.1","Kerron Stewart","JAM","16.04.84","Berlin","17.08.2009"
123,10.84,"+1.8","Kelly-Ann Baptiste","TTO","14.10.86","Clermont","05.06.2010"
123,10.84,"+0.3","Veronica Campbell-Brown","JAM","16.05.82","Kingston","24.06.2011"
123,10.84,"+1.5","English Gardner","USA","22.04.92","Eugene","30.05.2015"
123,10.84,"+1.5","Elaine Thompson","JAM","28.06.92","Eugene","30.05.2015"
123,10.84,"+1.4","Kelly-Ann Baptiste","TTO","14.10.86","Port of Spain","27.06.2015"
141,10.85,"+1.6","Evelyn Ashford","USA","15.04.57","Indianapolis","17.07.1988"
141,10.85,"+2.0","Anelia Nuneva","BUL","30.06.62","Sofia","02.09.1988"
141,10.85,"+1.5","Merlene Ottey","JAM","10.05.60","Rieti","09.09.1990"
141,10.85,"+0.9","Gwen Torrence","USA","12.06.65","Lausanne","06.07.1994"
141,10.85,"+0.9","Gwen Torrence","USA","12.06.65","G&ouml;teborg","07.08.1995"
141,10.85,"+1.4","Merlene Ottey","JAM","10.05.60","G&ouml;teborg","07.08.1995"
141,10.85,"+1.6","Gwen Torrence","USA","12.06.65","Atlanta","18.05.1996"
141,10.85,"+0.4","Zhanna Block","UKR","06.07.72","Ath&iacute;nai","03.08.1997"
141,10.85,"+0.8","Merlene Ottey","JAM","10.05.60","Berlin","26.08.1997"
141,10.85,"+1.5","Christine Arron","FRA","13.09.73","Montauban","05.08.1998"
141,10.85,"+0.4","Veronica Campbell-Brown","JAM","16.05.82","Z&uuml;rich","19.08.2005"
141,10.85,"+1.0","Muna Lee","USA","30.10.81","Eugene","28.06.2008"
141,10.85,"+0.7","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Kingston","28.06.2008"
141,10.85,"+0.4","Veronica Campbell-Brown","JAM","16.05.82","Bruxelles","16.09.2011"
141,10.85,"+1.2","Shelly-Ann Fraser-Pryce","JAM","27.12.86","London","04.08.2012"
141,10.85,"+1.5","Tianna Bartoletta","USA","30.08.85","London","04.08.2012"
141,10.85,"+2.0","Barbara Pierre","USA","28.04.87","Des Moines","21.06.2013"
141,10.85,"+1.8","English Gardner","USA","22.04.92","Des Moines","21.06.2013"
141,10.85,"+1.1","Barbara Pierre","USA","28.04.87","London","27.07.2013"
141,10.85,"+1.6","Michelle-Lee Ahye","TTO","10.04.92","Port of Spain","21.06.2014"
141,10.85,"+0.3","Blessing Okagbare","NGR","10.09.88","Glasgow","28.07.2014"
141,10.85,"+0.2","Elaine Thompson","JAM","28.06.92","Kingston","01.07.2016"
163,10.86,"+0.4","Marlies G&ouml;hr","GDR","21.03.58","Potsdam","05.05.1984"
163,10.86,"+2.0","Marlies G&ouml;hr","GDR","21.03.58","Berlin","22.09.1985"
163,10.86,"+0.8","Anelia Nuneva","BUL","30.06.62","Beograd","17.06.1987"
163,10.86,"+0.6","Silke M&ouml;ller","GER","20.06.64","Potsdam","20.08.1987"
163,10.86,"0.0","Diane Williams","USA","14.12.60","Indianapolis","16.07.1988"
163,10.86,"-1.0","Gwen Torrence","USA","12.06.65","Barcelona","01.08.1992"
163,10.86,"+0.9","Gwen Torrence","USA","12.06.65","Bruxelles","03.09.1993"
163,10.86,"-0.2","Marion Jones","USA","12.10.75","Helsinki","13.06.1998"
163,10.86,"-0.3","Ekater&iacute;ni Th&aacute;nou","GRE","01.02.75","Sevilla","21.08.1999"
163,10.86,"+0.7","Inger Miller","USA","12.06.72","Sevilla","21.08.1999"
163,10.86,"+0.1","Chandra Sturrup","BAH","12.09.71","Nassau","21.07.2000"
163,10.86,"+1.2","Chryste Gaines","USA","14.09.70","Monaco","14.09.2003"
163,10.86,"+0.7","Carmelita Jeter","USA","24.11.79","Z&uuml;rich","28.08.2009"
163,10.86,"+1.9","Carmelita Jeter","USA","24.11.79","Kingston","07.05.2011"
163,10.86,"+2.0","Marshevet Hooker","USA","25.09.84","Eugene","04.06.2011"
163,10.86,"+1.0","Kelly-Ann Baptiste","TTO","14.10.86","Kingston","05.05.2012"
163,10.86,"-0.1","Carmelita Jeter","USA","24.11.79","Lausanne","23.08.2012"
163,10.86,"-0.1","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Lausanne","23.08.2012"
163,10.86,"+0.1","Blessing Okagbare","NGR","10.09.88","London","27.07.2013"
163,10.86,"+2.0","Veronica Campbell-Brown","JAM","16.05.82","Montverde","07.06.2014"
163,10.86,"+1.2","English Gardner","USA","22.04.92","Eugene","26.06.2015"
163,10.86,"-0.3","Tori Bowie","USA","27.08.90","Beijing","24.08.2015"
163,10.86,"+0.5","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Rio de Janeiro","13.08.2016"
163,10.86,"+0.5","Marie-Jos&eacute;e Ta Lou","CIV","18.11.88","Rio de Janeiro","13.08.2016"
187,10.87,"+1.9","Marlies G&ouml;hr","GDR","21.03.58","Dresden","26.07.1984"
187,10.87,"+1.1","Merlene Ottey","JAM","10.05.60","Walnut","31.05.1987"
187,10.87,"+0.2","Anelia Nuneva","BUL","30.06.62","Sofia","02.09.1988"
187,10.87,"+0.2","Merlene Ottey","JAM","10.05.60","Roma","17.07.1991"
187,10.87,"-1.0","Merlene Ottey","JAM","10.05.60","Z&uuml;rich","07.08.1991"
187,10.87,"-0.2","Merlene Ottey","JAM","10.05.60","Barcelona","20.09.1991"
187,10.87,"-0.3","Merlene Ottey","JAM","10.05.60","Stuttgart","16.08.1993"
187,10.87,"-0.3","Gwen Torrence","USA","12.06.65","Stuttgart","16.08.1993"
187,10.87,"0.0","Gwen Torrence","USA","12.06.65","Monaco","02.08.1994"
187,10.87,"0.0","Gwen Torrence","USA","12.06.65","Durham","13.08.1994"
187,10.87,"-0.3","Marion Jones","USA","12.10.75","Malm&ouml;","03.08.1998"
187,10.87,"+2.0","Ekater&iacute;ni Th&aacute;nou","GRE","01.02.75","Budapest","19.08.1998"
187,10.87,"+0.3","Sherone Simpson","JAM","12.08.84","Roma","14.07.2006"
187,10.87,"+0.7","Sherone Simpson","JAM","12.08.84","Kingston","28.06.2008"
187,10.87,"0.0","Veronica Campbell-Brown","JAM","16.05.82","London","26.07.2008"
187,10.87,"+2.0","Kerron Stewart","JAM","16.04.84","Eugene","04.06.2011"
187,10.87,"+1.6","Marshevet Hooker","USA","25.09.84","Eugene","23.06.2011"
187,10.87,"+1.7","English Gardner","USA","22.04.92","Des Moines","21.06.2013"
187,10.87,"+1.8","Octavious Freeman","USA","20.04.92","Des Moines","21.06.2013"
187,10.87,"-0.1","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Moskva","12.08.2013"
187,10.87,"+1.7","Blessing Okagbare","NGR","10.09.88","Eugene","30.05.2015"
187,10.87,"+0.9","Tori Bowie","USA","27.08.90","Beijing","24.08.2015"
187,10.87,"+0.8","Elaine Thompson","JAM","28.06.92","Roma","02.06.2016"
210,10.88,"+2.0","Marlies G&ouml;hr","GDR","21.03.58","Dresden","01.07.1977"
210,10.88,"+1.9","Marlies G&ouml;hr","GDR","21.03.58","Karl-Marx-Stadt","06.07.1982"
210,10.88,"+1.9","Evelyn Ashford","USA","15.04.57","Rieti","07.09.1986"
210,10.88,"+1.6","Evelyn Ashford","USA","15.04.57","Seoul","24.09.1988"
210,10.88,"+1.0","Florence Griffith-Joyner","USA","21.12.59","Seoul","24.09.1988"
210,10.88,"+0.2","Merlene Ottey","JAM","10.05.60","Oslo","06.07.1991"
210,10.88,"-1.0","Merlene Ottey","JAM","10.05.60","Barcelona","01.08.1992"
