"","Rank","Time","Wind","Name","Country","Birthdate","City","Date","CityDate"
"1517",1395,11.06,"-0.6","Murielle Ahour&eacute;","CIV","23.08.87","Abidjan","26.04.2014","Abidjan 26.04.2014"
"1790",1696,11.08,"+0.2","Damola Osayomi","NGR","26.07.86","Abuja","02.07.2008","Abuja 02.07.2008"
"1921",1853,11.09,"+1.6","Chryste Gaines","USA","14.09.70","Ad-Dawhah","05.10.2000","Ad-Dawhah 05.10.2000"
"67",60,10.8,"+0.7","Tori Bowie","USA","27.08.90","Ad-Dawhah","06.05.2016","Ad-Dawhah 06.05.2016"
"755",722,10.99,"+0.7","Beverly McDonald","JAM","15.02.70","Ad-Dawhah","07.05.1998","Ad-Dawhah 07.05.1998"
"405",377,10.93,"+1.3","Kerron Stewart","JAM","16.04.84","Ad-Dawhah","08.05.2009","Ad-Dawhah 08.05.2009"
"403",377,10.93,"+1.5","Allyson Felix","USA","18.11.85","Ad-Dawhah","09.05.2008","Ad-Dawhah 09.05.2008"
"361",333,10.92,"+0.7","Allyson Felix","USA","18.11.85","Ad-Dawhah","11.05.2012","Ad-Dawhah 11.05.2012"
"923",888,11.01,"+0.4","Chandra Sturrup","BAH","12.09.71","Ad-Dawhah","15.05.2002","Ad-Dawhah 15.05.2002"
"1977",1853,11.09,"+1.4","Ruddy Zang Milama","GAB","06.06.87","Albi","29.07.2011","Albi 29.07.2011"
"2003",1853,11.09,"+0.8","Olga Safronova","KAZ","05.11.91","Almaty","24.05.2016","Almaty 24.05.2016"
"287",258,10.9,"-0.2","Dafne Schippers","NED","15.06.92","Amsterdam","08.07.2016","Amsterdam 08.07.2016"
"1071",986,11.02,"+0.8","Dafne Schippers","NED","15.06.92","Amsterdam","31.07.2015","Amsterdam 31.07.2015"
"1164",1084,11.03,"+1.6","Ruddy Zang Milama","GAB","06.06.87","Angers","16.06.2012","Angers 16.06.2012"
"1993",1853,11.09,"+0.3","Myriam Soumar&eacute;","FRA","29.10.86","Angers","30.08.2014","Angers 30.08.2014"
"561",525,10.96,"+0.4","Muriel Hurtis","FRA","25.03.79","Annecy","22.06.2002","Annecy 22.06.2002"
