Name, Begin, End
Courtship, 1740, 1820
Picareseque, 1748, 1790
Oriental, 1759, 1787
Epistolary, 1766, 1795
Sentimental, 1768, 1790
Spy, 1770, 1800
Ramble, 1773, 1790
Jacobin, 1789, 1805
Gothic, 1790, 1820
Anti-Jacobin, 1791, 1805
National, 1800, 1831
Village, 1804, 1832
Evangelical, 1808, 1819
Historical, 1814, 1848
Romantic_Farrago, 1822, 1847
Silver-Fork, 1825, 1842
Military, 1826, 1850
Nautical, 1828, 1850
Newgate, 1830, 1847
Conversion, 1830, 1853
Industrial, 1832, 1867
Sporting, 1838, 1867
Chartist, 1839, 1852
Mysteries, 1846, 1870
Multiplot, 1846, 1872
Bildungsroman, 1847, 1872
Religious, 1848, 1856
Domestic, 1849, 1872
Provincial, 1850, 1873
Sensation, 1850, 1876
Fantasy, 1850, 1895
Childrens_adventures, 1851, 1883
School, 1857, 1881
Imperial_Romances, 1868, 1902
Invasion, 1871, 1914
Utopia, 1872, 1901
Cockney, 1872, 1897
Regional, 1873, 1896
Nursery, 1876, 1906
Decadent, 1884, 1906
Naturalist, 1885, 1915
Imperial_Gothic, 1885, 1916
New_Woman, 1888, 1899
Kailyard, 1888, 1900
