cartodb_id,bbl,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,tax_delinquency,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address,applied_filters
1617301,1000087501,36061000900,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,16020450,NEW YORK PLAZA RESIDE,97,1985,1,39 Whitehall Street,Has Subsidies
1617335,1000157502,36061001300,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,29947051,THE DOWNTOWN CLUB CON,283,1930,1,20 West Street,Has Subsidies
1617335,1000157502,36061001300,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,29947051,THE DOWNTOWN CLUB CON,283,1930,1,20 West Street,Has Subsidies
1617335,1000157502,36061001300,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,29947051,THE DOWNTOWN CLUB CON,283,1930,1,20 West Street,Has Subsidies
1617340,1000160015,36061031704,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,18171000,DEMATTEIS BATTERY PAR,208,1998,1,50 Battery Place,Has Subsidies
1617341,1000160020,36061031704,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,17366850,NY URBAN LLC,209,1998,1,70 Battery Place,Has Subsidies
1617343,1000160100,36061031704,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,1,155637000,BATTERY PARK CITY AUT,1712,1983,6,345 South End Avenue,Has Subsidies
1617350,1000160185,36061031703,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,41383800,,253,2004,1,211 North End Avenue,Has Subsidies
1617352,1000160200,36061031703,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,52859250,BATTERY PARK CITY AUT,396,1998,2,400 Chambers Street,Has Subsidies
1617354,1000160210,36061031703,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,43272000,TRIBECA POINTE LLC,340,1998,1,399 Chambers Street,Has Subsidies
1617382,1000170029,36061001300,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,36541800,"EKATZ FAMILY, LLC",397,1969,1,90 Washington Street,Has Subsidies
1617416,1000247501,36061000900,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,39032999,,157,1982,1,40 Broad Street,Has Subsidies
1617416,1000247501,36061000900,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,39032999,,157,1982,1,40 Broad Street,Has Subsidies
1617416,1000247501,36061000900,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,39032999,,157,1982,1,40 Broad Street,Has Subsidies
1617422,1000257501,36061000900,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,59075098,,320,2005,1,15 William Street,Has Subsidies
1617423,1000260014,36061000700,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,35883000,WHW ASSOCIATES,372,1904,2,37 Wall Street,Has Subsidies
1617425,1000267501,36061000700,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,92609118,,382,1914,1,15 Broad Street,Has Subsidies
1617425,1000267501,36061000700,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,92609118,,382,1914,1,15 Broad Street,Has Subsidies
1617426,1000270009,36061000700,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,41176350,RBNB WALL STREET OWNE,476,1929,1,63 Wall Street,Has Subsidies
1617427,1000270017,36061000700,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,35282250,RBNB 67 WALL STREET O,317,1921,1,67 Wall Street,Has Subsidies
1617428,1000277501,36061000700,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,36685347,CIPRIANUI CLUB RESIDE,107,1836,1,55 Wall Street,Has Subsidies
1617429,1000277502,36061000700,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,74751750,TWENTY EXCHANGE PLACE,350,1929,1,20 Exchange Place,Has Subsidies
1617435,1000287501,36061000700,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,13771806,COCOA EXCHANGE CONDO,126,1987,1,82 Beaver Street,Has Subsidies
1617455,1000297503,36061000900,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,0,0,2640153,,31,1900,1,21 South William Street,Has Subsidies
