"Rank" "Name" "Age" "Networths" "Worth" "Location" "Industry" "TechnologyIndicator"
1 "Bill Gates" 58 "$72 B" 72 "Medina, Washington" "Microsoft" 1
2 "Warren Buffett" 84 "$58,5 B" 58.5 "Omaha, Nebraska" "Berkshire Hathaway" 0
3 "Larry Ellison" 70 "$41 B" 41 "Woodside, California" "Oracle" 1
4 "Charles Koch" 78 "$36 B" 36 "Wichita, Kansas" "diversified" 0
5 "David Koch" 74 "$36 B" 36 "New York, New York" "diversified" 0
6 "Christy Walton & family" 59 "$35,4 B" 35.4 "Jackson, Wyoming" "Wal-Mart" 0
7 "Jim Walton" 66 "$33,8 B" 33.8 "Bentonville, Arkansas" "Wal-Mart" 0
8 "Alice Walton" 64 "$33,5 B" 33.5 "Fort Worth, Texas" "Wal-Mart" 0
9 "S. Robson Walton" 70 "$33,3 B" 33.3 "Bentonville, Arkansas" "Wal-Mart" 0
10 "Michael Bloomberg" 72 "$31 B" 31 "New York, New York" "Bloomberg LP" 0
11 "Sheldon Adelson" 81 "$28,5 B" 28.5 "Las Vegas, Nevada" "casinos" 0
12 "Jeff Bezos" 50 "$27,2 B" 27.2 "Seattle, Washington" "Amazon.com" 1
13 "Larry Page" 41 "$24,9 B" 24.9 "Palo Alto, California" "Google" 1
14 "Sergey Brin" 41 "$24,4 B" 24.4 "Los Altos, California" "Google" 1
15 "Forrest Mars, Jr." 83 "$20,5 B" 20.5 "Big Horn, Wyoming" "candy" 0
16 "Jacqueline Mars" 74 "$20,5 B" 20.5 "The Plains, Virginia" "candy" 0
17 "John Mars" 78 "$20,5 B" 20.5 "Jackson, Wyoming" "candy" 0
18 "Carl Icahn" 78 "$20,3 B" 20.3 "New York, New York" "Investments" 0
19 "George Soros" 84 "$20 B" 20 "Katonah, New York" "hedge funds" 0
20 "Mark Zuckerberg" 30 "$19 B" 19 "Palo Alto, California" "Facebook" 1
21 "Steve Ballmer" 58 "$18 B" 18 "Hunts Point, Washington" "Microsoft" 1
22 "Len Blavatnik" 57 "$17,8 B" 17.8 "London" "diversified" 0
23 "Abigail Johnson" 52 "$17,2 B" 17.2 "Milton, Massachusetts" "money management" 0
24 "Phil Knight" 76 "$16,3 B" 16.3 "Hillsboro, Oregon" "Nike" 0
25 "Michael Dell" 49 "$15,9 B" 15.9 "Austin, Texas" "Dell" 1
26 "Paul Allen" 61 "$15,8 B" 15.8 "Mercer Island, Washington" "Microsoft, investments" 1
27 "Donald Bren" 82 "$14 B" 14 "Newport Beach, California" "real estate" 0
28 "Ronald Perelman" 71 "$14 B" 14 "New York, New York" "leveraged buyouts" 0
29 "Anne Cox Chambers" 94 "$13,5 B" 13.5 "Atlanta, Georgia" "media" 0
30 "Rupert Murdoch & family" 83 "$13,4 B" 13.4 "New York, New York" "media" 0
31 "Ray Dalio" 65 "$12,9 B" 12.9 "Greenwich, Connecticut" "hedge funds" 0
32 "Charles Ergen" 61 "$12,5 B" 12.5 "Denver, Colorado" "Dish Network" 0
33 "Harold Hamm" 68 "$12,4 B" 12.4 "Oklahoma City, Oklahoma" "oil & gas" 0
34 "James Simons" 76 "$12 B" 12 "East Setauket, New York" "hedge funds" 0
35 "Laurene Powell Jobs & family" 50 "$11,7 B" 11.7 "Palo Alto, California" "Apple, Disney" 0
36 "John Paulson" 58 "$11,4 B" 11.4 "New York, New York" "hedge funds" 0
37 "Jack Taylor & family" 92 "$11,4 B" 11.4 "St. Louis, Missouri" "Enterprise Rent-A-Car" 0
38 "Philip Anschutz" 74 "$10,3 B" 10.3 "Denver, Colorado" "investments" 0
39 "Richard Kinder" 69 "$10,2 B" 10.2 "Houston, Texas" "pipelines" 0
40 "George Kaiser" 72 "$10 B" 10 "Tulsa, Oklahoma" "oil & gas, banking" 0
41 "Harold Simmons" 83 "$10 B" 10 NA "investments" 0
42 "Andrew Beal" 61 "$9,8 B" 9.8 "Dallas, Texas" "banks, real estate" 0
43 "Steve Cohen" 58 "$9,4 B" 9.4 "Greenwich, Connecticut" "hedge funds" 0
44 "Edward Johnson, III." 84 "$9,3 B" 9.3 "Boston, Massachusetts" "Investments" 0
45 "Patrick Soon-Shiong" 62 "$9 B" 9 "Los Angeles, California" "pharmaceuticals" 0
46 "Samuel Newhouse, Jr." 86 "$8,9 B" 8.9 "New York, New York" "Media" 0
47 "Charles Butt & family" 76 "$8,5 B" 8.5 "San Antonio, Texas" "supermarkets" 0
48 "Pierre Omidyar" 47 "$8,5 B" 8.5 "Honolulu, Hawaii" "Ebay" 1
49 "Elaine Marshall & family" 72 "$8,3 B" 8.3 "Dallas, Texas" "diversified" 0
50 "Hank & Doug Meijer" NA "$8,3 B" 8.3 "Grand Rapids, Michigan" "supermarkets" 0
51 "Eric Schmidt" 59 "$8,3 B" 8.3 "Atherton, California" "Google" 1
52 "Donald Newhouse" 84 "$8,2 B" 8.2 "Somerset County, New Jersey" "Media" 0
53 "David Tepper" 57 "$7,9 B" 7.9 "Livingston, New Jersey" "hedge funds" 0
54 "Ralph Lauren" 74 "$7,7 B" 7.7 "New York, New York" "Ralph Lauren" 0
55 "Stephen Schwarzman" 67 "$7,7 B" 7.7 "New York, New York" "private equity" 0
56 "Leonard Lauder" 81 "$7,6 B" 7.6 "New York, New York" "Estee Lauder" 0
57 "John Menard, Jr." 74 "$7,5 B" 7.5 "Eau Claire, Wisconsin" "retail" 0
58 "James Goodnight" 71 "$7,2 B" 7.2 "Cary, North Carolina" "software" 1
59 "Eli Broad" 81 "$6,9 B" 6.9 "Los Angeles, California" "investments" 0
