"country","year","strike.volume","unemployment","inflation","left.parliament","centralization","density"
"Australia",1951,296,1.3,19.8,43,0.37485878784908,NA
"Australia",1952,397,2.2,17.2,43,0.375182850502897,NA
"Australia",1953,360,2.5,4.3,43,0.374507638425566,NA
"Australia",1954,3,1.7,0.7,47,0.371016952663194,NA
"Australia",1955,326,1.4,2,38.5,0.375267464476638,NA
"Australia",1956,352,1.8,6.3,38.5,0.371607155541424,NA
"Australia",1957,195,2.3,2.5,38.5,0.371875686666463,NA
"Australia",1958,133,2.7,1.3,36.9,0.375567658750806,NA
"Australia",1959,109,2.6,1.8,36.9,0.374166833988857,NA
"Australia",1960,208,2.5,3.8,36.9,0.375124043568503,50.2
"Australia",1961,173,2.5,2.5,49.2,0.372428794584703,49.5
"Australia",1962,142,2.6,-0.3,49.2,0.37699220941402,49.5
"Australia",1963,158,2.1,0.5,41,0.374038168690167,49.2
"Australia",1964,243,1.6,2.4,41,0.376286884902511,48.2
"Australia",1965,211,1.5,4,41,0.37042798724724,47.9
"Australia",1966,183,1.7,3,33.1,0.378509214101359,45.8
"Australia",1967,168,1.9,3.2,33.1,0.373235153458081,45
"Australia",1968,249,1.8,2.7,33.1,0.379859712158795,44.8
"Australia",1969,439,1.8,2.9,47.2,0.379012297124136,44.4
"Australia",1970,515,1.6,3.9,47.2,0.371137537041213,44.2
"Australia",1971,645,1.9,6.1,47.2,0.374626964337658,45.4
"Australia",1972,416,2.6,5.9,53.6,0.376347600589506,46.3
"Australia",1973,527,2.3,9.5,53.6,0.37886663489975,47.2
"Australia",1974,1252,2.6,15.1,52,0.379628971070051,48.8
"Australia",1975,702,4.8,15.1,28.3,0.373487869610544,50.1
"Australia",1976,760,4.7,13.5,28.3,0.373200264202896,50.2
"Australia",1977,328,5.6,12.3,30.7,0.371864824926015,49.8
"Australia",1978,421,6.4,7.9,30.7,0.374507143495139,49.8
"Australia",1979,778,6.1,9.1,30.7,0.371883937437087,49.8
"Australia",1980,633,6,10.1,40.8,0.372425995895173,48.7
"Australia",1981,779,5.7,9.7,40.8,0.372296658621635,47.6
"Australia",1982,370,7,11.2,40.8,0.370192098543048,48
"Australia",1983,313,9.8,10.1,60,0.378438461362384,48.5
"Australia",1984,241,8.9,4,55.4,0.375926769296639,47.6
"Australia",1985,226,8.2,6.7,55.4,0.37774353982415,45.9
"Austria",1951,43,3.5,27.5,43.6,0.997523858763743,NA
"Austria",1952,39,4.7,13.6,43.6,0.998303803235758,NA
"Austria",1953,20,5.8,-1.6,46.7,0.998307072771713,NA
"Austria",1954,26,4.9,4,46.7,0.997825529116672,NA
"Austria",1955,28,3.6,0,46.7,0.998349252899643,NA
"Austria",1956,72,3.5,3.9,46.7,0.999480959381908,NA
"Austria",1957,21,3.3,2.8,46.7,0.996577569581568,NA
"Austria",1958,22,3.6,2,46.7,0.998013958700467,NA
"Austria",1959,23,3.3,1.1,47.3,0.99796967853792,NA
"Austria",1960,30,2.5,2,47.3,0.995904820999131,67.9
"Austria",1961,49,2,3.5,47.3,0.999555976572446,67.3
"Austria",1962,277,1.9,4.4,46.1,0.997759157770779,66.7
"Austria",1963,15,2.1,2.7,46.1,0.998315151217394,67.1
"Austria",1964,15,1.9,3.9,46.1,0.99569927375298,66.6
"Austria",1965,64,1.9,4.9,46.1,0.998703784747049,66.2
"Austria",1966,30,1.8,2.2,47.9,0.997653073002584,65.8
"Austria",1967,7,1.8,4,47.9,0.996148501045536,65.1
"Austria",1968,3,2,2.8,47.9,0.999788396265358,62.1
"Austria",1969,8,1.8,3.1,47.9,0.997120248398278,63.1
"Austria",1970,11,1.5,4.4,49.1,0.997014503795653,62.8
"Austria",1971,2,1.2,4.7,49.1,0.999425920143258,61.9
"Austria",1972,6,1.1,6.4,50.8,0.999094443190843,61
