,Name,Score,Qty
0,Circle U (Orthodox Union),True,180
1,Kosher Certified,True,404
2,5 PP Recycle Cert,False,3
3,Certified Organic Quality Assurance Intl,False,1
4,Certified Vegan vegan.org,False,3
5,Chicago Rabbinical Council,False,3
6,Circle K (OK Kosher Certification),False,31
7,EarthKosher Kosher Cert,False,1
8,Fruits & Veggies More Matters Cert,False,5
9,Generic Recycle Cert,False,1
10,Glass Recycles Cert,False,16
11,Gluten Free Certified,False,5
12,Gluten Free GFCO,False,4
13,Hecho En Mexico (Made in Mexico) Cert,False,1
14,Kosher (KOF-K),False,28
15,Kosher Peru Cert,False,7
16,Kosher Phoenix Cert,False,6
17,Kosher Supervision America,False,51
18,Non GMO Certified,False,7
19,Non GMO or USDA Organic,False,15
20,Non GMO Project Verified,False,7
21,NonProfit/Assocation/Brand Endorsements Cert,False,6
22,Organic Certified,False,10
23,Other Gluten Free Certifications,False,1
24,Other Kosher Certifications,False,27
25,Other Recycling Cert,False,17
26,Other Sustainability Certifications,False,1
27,Other Vegan Logo Cert,False,3
28,P Pareve Parve Parev Cert,False,3
29,Pareve (Kosher),False,7
30,Parve (Kosher),False,32
31,Plain K,False,8
32,Polyethylene Recycle Cert,False,1
33,Polypropylene Material,False,2
34,Quality Kosher Certification Cert,False,2
35,Rabbinical Council of New England Cert,False,2
36,Recycle - Please Recycle,False,34
37,Recycle - Widely Recycled,False,37
38,Recycling Logo Cert,False,119
39,Recycling Symbol,False,19
40,Recycling Tidy Man Cert,False,18
41,SmartLabel Cert,False,1
42,Star-K,False,59
43,State/Country Specific Endorsements Cert,False,1
44,Sustainability Certified,False,1
45,Tablet K Kosher,False,3
46,USDA Certified Cert,False,12
47,USDA Inspection - Meat Cert,False,2
48,USDA Organic,False,10
49,Vegan (Black Circle) Cert,False,1
50,Vegan Certified,False,11
51,Vegan V Circle Cert,False,4
52,Vegetarian Certified,False,1
53,Vegetarian Movement,False,1
54,WIC Massachusetts Products,False,8
