,Name,Score,Qty
0,FDA - Cholesterol Free,True,564
1,FDA - Cholesterol Free 2018,True,564
2,FDA - Excellent Source of Vitamin A,True,24
3,FDA - Excellent Source of Vitamin A 2018,True,24
4,FDA - Fat Free,True,563
5,FDA - Fat Free 2018,True,563
6,FDA - Good Source of Vitamin C,True,41
7,FDA - Good Source of Vitamin C 2018,True,41
8,FDA - Healthy,True,222
9,FDA - Low Cholesterol,True,564
10,FDA - Low Cholesterol 2018,True,564
11,FDA - Low Fat,True,564
12,FDA - Low Fat 2018,True,564
13,FDA - Low Saturated Fat,True,544
14,FDA - Low Saturated Fat 2018,True,544
15,FDA - Low Sodium,True,563
16,FDA - Low Sodium 2018,True,563
17,FDA - Saturated Fat Free,True,564
18,FDA - Saturated Fat Free 2018,True,564
19,FDA - Trans Fat Free,True,564
20,FDA - Trans Fat Free 2018,True,564
21,FDA- Healthy 2018,True,222
22,FDA - Excellent Source of Calcium,False,1
23,FDA - Excellent Source of Calcium 2018,False,1
24,FDA - Excellent Source of Calcium 2018,False,1
25,FDA - Excellent Source of Fiber,False,2
26,FDA - Excellent Source of Fiber 2018,False,2
27,FDA - Excellent Source of Vitamin C,False,164
28,FDA - Good Source of Calcium,False,1
29,FDA - Good Source of Calcium 2018,False,1
30,FDA - Good Source of Fiber,False,9
31,FDA - Good Source of Fiber 2018,False,9
32,FDA - Good Source of Vitamin A,False,12
33,FDA - Good Source of Vitamin A 2018,False,12
34,FDA - Low Calorie,False,21
35,FDA - Low Calorie 2018,False,21
36,FDA - Sodium Free,False,80
37,FDA - Sodium Free 2018,False,80
38,FDA- Excellent Source of Vitamin C,False,164
39,New FDA - Excellent Source of Calcium,False,1
40,NLEA 2018 FDA - Excellent Source of Fiber,False,2
41,NLEA 2018 FDA - Excellent Source of Fiber 2018,False,2
42,NLEA 2018 FDA - Good Source of Fiber,False,11
43,NLEA 2018 FDA - Good Source of Fiber 2018,False,11
