,Name,Value,DVP,Per 100,RACC
0,Calories,50,,40.98,57.38
1,Calories From Fat,0,,0,0
2,Total Fat,0,0,0,0
3,Saturated Fat,0,0,0,0
4,Trans Fat,0,,0,0
5,Cholesterol,0,0,0,0
6,Sodium,10,0,8.2,11.48
7,Total Carbohydrate,12,4%,9.84,13.77
8,Dietary Fiber,0,0,0,0
9,Sugars,11,,9.02,12.62
10,Protein,0,,0,0
11,Potassium,125,4%,102.46,143.44
12,Vitamin A,,20%,,
13,Vitamin C,,10%,,
14,Calcium,,0,,
15,Iron,,4%,,
16,Calories From Sat Fat Percent,0,,0,0
17,Calories From Sugar Percent,88,,72.13,100.98
18,Calories From Fat Percent,0,,0,0
19,Sodium per Calorie,0.2,,0.16,0.23
20,Carbohydrate Exchange,0.8,,,
21,Calories From Carbohydrates Percent,96,,78.69,110.16
