,Name,Score,Qty
0,FDA - Excellent Source of Calcium,True,363
1,FDA - Excellent Source of Calcium 2018,True,362
2,FDA - Excellent Source of Calcium 2018,True,363
3,FDA - Excellent Source of Vitamin D,True,299
4,FDA - Excellent Source of Vitamin D 2018,True,299
5,FDA - Fat Free,True,359
6,FDA - Fat Free 2018,True,359
7,FDA - Good Source of Potassium,True,151
8,FDA - Good Source of Potassium 2018,True,155
9,FDA - Good Source of Protein,True,348
10,FDA - Good Source of Protein 2018,True,347
11,FDA - Good Source of Vitamin A,True,341
12,FDA - Good Source of Vitamin A 2018,True,344
13,FDA - Healthy,True,362
14,FDA - Low Cholesterol,True,363
15,FDA - Low Cholesterol 2018,True,363
16,FDA - Low Fat,True,363
17,FDA - Low Fat 2018,True,363
18,FDA - Low Saturated Fat,True,362
19,FDA - Low Saturated Fat 2018,True,362
20,FDA - Low Sodium,True,349
21,FDA - Low Sodium 2018,True,349
22,FDA - Saturated Fat Free,True,360
23,FDA - Saturated Fat Free 2018,True,360
24,FDA - Trans Fat Free,True,363
25,FDA - Trans Fat Free 2018,True,363
26,FDA- Healthy 2018,True,362
27,New FDA - Excellent Source of Calcium,True,362
28,FDA - Calorie Free,False,1
29,FDA - Calorie Free 2018,False,1
30,FDA - Cholesterol Free,False,3
31,FDA - Cholesterol Free 2018,False,3
32,FDA - Excellent Source of Iron,False,1
33,FDA - Excellent Source of Iron 2018,False,1
34,FDA - Excellent Source of Phosphorus,False,28
35,FDA - Excellent Source of PHosphorus 2018,False,28
36,FDA - Excellent Source of Potassium,False,1
37,FDA - Excellent Source of Potassium 2018,False,1
38,FDA - Excellent Source of Protein,False,24
39,FDA - Excellent Source of Protein 2018,False,20
40,FDA - Excellent Source of Riboflavin,False,14
41,FDA - Excellent Source of Riboflavin 2018,False,14
42,FDA - Excellent Source of Vit B12,False,12
43,FDA - Excellent Source of Vit B6,False,1
44,FDA - Excellent Source of VIt B6 2018,False,1
45,FDA - Excellent Source of Vitamin A,False,12
46,FDA - Excellent Source of Vitamin A 2018,False,12
47,FDA - Excellent Source of Vitamin C,False,1
48,FDA - Excellent Source of Vitamin E,False,1
49,FDA - Excellent Source of Vitamin E 2018,False,1
50,FDA - Good Source of Niacin,False,1
51,FDA - Good Source of Niacin 2018,False,1
52,FDA - Good Source of Vitamin C,False,11
53,FDA - Good Source of Vitamin C 2018,False,11
54,FDA - Good Source of Vitamin D,False,59
55,FDA - Good Source of Vitamin D 2018,False,59
56,FDA - Good Source of Zinc,False,1
57,FDA - Good Source of Zinc 2018,False,1
58,FDA - Low Calorie,False,1
59,FDA - Low Calorie 2018,False,1
60,FDA- Excellent Source of Vitamin C,False,1
