,Name,Score,Qty
0,Fat Free,True,351
1,FDA RBST Statement Claim,True,234
2,Grade A Claim,True,304
3,Pasteurized,True,329
4,RBST Free Claim,True,142
5,Storage Instructions Claim,True,314
6,Vitamin A Claim,True,303
7,Vitamin D Claim,True,317
8,% Post Consumer Recycled Content Claim,False,1
9,0g Saturated Fat Per Serving,False,7
10,100 Calories Per Serve,False,1
11,Added Nutrient Claim,False,24
12,All Natural Claim,False,3
13,Antibiotic Free Claim,False,42
14,Artificial Color and Dye Free Claim,False,5
15,Artificial Color Free Claim,False,5
16,Artificial Flavor Free Claim,False,3
17,Artisanal Claim,False,1
18,B Corporation Claim,False,5
19,Big Size Claim,False,1
20,Bone Claim,False,3
21,Bonus Claim,False,3
22,Brain Claim,False,1
23,Builds Strong Bones Claim,False,2
24,Calcium and Osteoporosis Claim,False,1
25,Calcium Claim,False,65
26,California Grown Claim,False,6
27,Calorie Claim,False,31
28,Calorie Free Claim,False,1
29,Certified Organic By Midwest Organic Services Association Claim,False,1
30,Certified Organic by QCS Claim,False,5
31,Charitable Causes,False,11
32,Cholesterol Claim,False,1
33,Clinically Tested Claim,False,3
34,Cold Preparation Instructions Claim,False,3
35,Complete Nutrition Claim,False,1
36,Concentrated Claim,False,1
37,Conserve/Promote Biodiversity Claim,False,1
38,Contains Bifidobacterium Bifidum Claim,False,1
39,Contains Bifidobacterium Claim,False,1
40,Contains Caffeine Claim,False,1
41,Contains Dairy Claim,False,3
42,Contains Lactobacillus Acidophilus Claim,False,1
43,Contains Lactobacillus Claim,False,1
44,Convenient Claim,False,6
45,Convention Oven Preparation Instructions Claim,False,1
46,Cooking Instruction - Oven/Conventional - Bake Claim,False,1
47,Cooking Instruction - Stove Top - Boil Claim,False,1
48,Cooperatives or Co-Op's Claim,False,16
49,Craft Claim Base,False,1
50,Daily Use Claim,False,1
51,Daily Value Statement - New Label Claim,False,1
52,Delicious Claim,False,50
53,DHA Omega Claim,False,1
54,Digest Claim,False,8
55,Easy Claim,False,7
56,Egg Free Claim,False,1
57,Enriched Calcium Claim,False,7
58,Enriched Claim,False,1
59,Enriched DHA Omega Claim,False,1
60,Enriched Docosahexaenoic Acid (DHA) Claim,False,1
61,Enriched Protein Claim,False,3
62,Enriched Vitamin A Claim,False,26
63,Enriched Vitamin D Claim,False,29
64,Enriched/More/Fortified/Added/Extra/Plus Claim,False,2
65,Environmental,False,49
